# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.460732E+02  4.144185E-05  8.646245E+02  0.000000E+00
2.460732E+02  4.058428E-05  8.646240E+02  9.676640E-01
2.460720E+02  3.966678E-04  8.646188E+02  2.730550E+00
2.460710E+02  8.717869E-04  8.646116E+02  4.044060E+00
2.460696E+02  1.408059E-03  8.646035E+02  5.134728E+00
2.460681E+02  1.971077E-03  8.645950E+02  6.071678E+00
2.460665E+02  2.551728E-03  8.645863E+02  6.906876E+00
2.460648E+02  3.146605E-03  8.645773E+02  7.671636E+00
2.460631E+02  3.750149E-03  8.645682E+02  8.374178E+00
2.460613E+02  4.351576E-03  8.645590E+02  9.027467E+00
2.460594E+02  4.964554E-03  8.645497E+02  9.642622E+00
2.460575E+02  5.584129E-03  8.645403E+02  1.022767E+01
2.460556E+02  6.206447E-03  8.645309E+02  1.078204E+01
2.460536E+02  6.841143E-03  8.645214E+02  1.131258E+01
2.460515E+02  7.465201E-03  8.645118E+02  1.182232E+01
2.460494E+02  8.104091E-03  8.645022E+02  1.231570E+01
2.460490E+02  8.241281E-03  8.645002E+02  1.241570E+01
2.460485E+02  8.375475E-03  8.644982E+02  1.251570E+01
2.460462E+02  9.054741E-03  8.644879E+02  1.300960E+01
2.460438E+02  9.732022E-03  8.644776E+02  1.349013E+01
2.460414E+02  1.041782E-02  8.644672E+02  1.395288E+01
2.460390E+02  1.109306E-02  8.644570E+02  1.439871E+01
2.460364E+02  1.178689E-02  8.644465E+02  1.483540E+01
2.460338E+02  1.245636E-02  8.644363E+02  1.525257E+01
2.460311E+02  1.313941E-02  8.644260E+02  1.566202E+01
2.460284E+02  1.382061E-02  8.644157E+02  1.605988E+01
2.460255E+02  1.450614E-02  8.644054E+02  1.644805E+01
2.460227E+02  1.518991E-02  8.643951E+02  1.682559E+01
2.460197E+02  1.587609E-02  8.643848E+02  1.719317E+01
2.460166E+02  1.654472E-02  8.643746E+02  1.755371E+01
2.460135E+02  1.722674E-02  8.643642E+02  1.790942E+01
2.460104E+02  1.790767E-02  8.643539E+02  1.825748E+01
2.460071E+02  1.858629E-02  8.643436E+02  1.859592E+01
2.460038E+02  1.927082E-02  8.643333E+02  1.892918E+01
2.460004E+02  1.995165E-02  8.643230E+02  1.925773E+01
2.459968E+02  2.063493E-02  8.643127E+02  1.957973E+01
2.459931E+02  2.131470E-02  8.643024E+02  1.989571E+01
2.459895E+02  2.199608E-02  8.642921E+02  2.020676E+01
2.459857E+02  2.267495E-02  8.642818E+02  2.051370E+01
2.459818E+02  2.336291E-02  8.642714E+02  2.081755E+01
2.459778E+02  2.403991E-02  8.642611E+02  2.111450E+01
2.459737E+02  2.472126E-02  8.642508E+02  2.140656E+01
2.459695E+02  2.540334E-02  8.642405E+02  2.169612E+01
2.459653E+02  2.608942E-02  8.642301E+02  2.198204E+01
2.459609E+02  2.676539E-02  8.642198E+02  2.226276E+01
2.459564E+02  2.745068E-02  8.642094E+02  2.254257E+01
2.459519E+02  2.813582E-02  8.641990E+02  2.281745E+01
2.459472E+02  2.881440E-02  8.641887E+02  2.308777E+01
2.459424E+02  2.950077E-02  8.641783E+02  2.335629E+01
2.459375E+02  3.018785E-02  8.641680E+02  2.362062E+01
2.459326E+02  3.086740E-02  8.641577E+02  2.388193E+01
2.459274E+02  3.155673E-02  8.641472E+02  2.414284E+01
2.459222E+02  3.223489E-02  8.641370E+02  2.439834E+01
2.459169E+02  3.291735E-02  8.641265E+02  2.465360E+01
2.459115E+02  3.360799E-02  8.641161E+02  2.490342E+01
2.459059E+02  3.429800E-02  8.641057E+02  2.515184E+01
2.459003E+02  3.498014E-02  8.640953E+02  2.539729E+01
2.458945E+02  3.566054E-02  8.640850E+02  2.564063E+01
2.458886E+02  3.635092E-02  8.640746E+02  2.588321E+01
2.458827E+02  3.703275E-02  8.640642E+02  2.612217E+01
2.458766E+02  3.771915E-02  8.640538E+02  2.635939E+01
2.458704E+02  3.841270E-02  8.640433E+02  2.659416E+01
2.458641E+02  3.909792E-02  8.640329E+02  2.682576E+01
2.458577E+02  3.977754E-02  8.640225E+02  2.705533E+01
2.458511E+02  4.046719E-02  8.640121E+02  2.728424E+01
2.458445E+02  4.115051E-02  8.640017E+02  2.751117E+01
2.458377E+02  4.183097E-02  8.639913E+02  2.773518E+01
2.458308E+02  4.251663E-02  8.639808E+02  2.795768E+01
2.458238E+02  4.320544E-02  8.639704E+02  2.817868E+01
2.458167E+02  4.389439E-02  8.639600E+02  2.839726E+01
2.458094E+02  4.457996E-02  8.639496E+02  2.861550E+01
2.458020E+02  4.527190E-02  8.639390E+02  2.883239E+01
2.457946E+02  4.594780E-02  8.639287E+02  2.904505E+01
2.457869E+02  4.664725E-02  8.639182E+02  2.925916E+01
2.457792E+02  4.733095E-02  8.639077E+02  2.947063E+01
2.457714E+02  4.801546E-02  8.638973E+02  2.967936E+01
2.457635E+02  4.870828E-02  8.638867E+02  2.988803E+01
2.457554E+02  4.938263E-02  8.638763E+02  3.009373E+01
2.457472E+02  5.007676E-02  8.638658E+02  3.029924E+01
2.457388E+02  5.075817E-02  8.638554E+02  3.050279E+01
2.457304E+02  5.144789E-02  8.638450E+02  3.070579E+01
2.457219E+02  5.213502E-02  8.638344E+02  3.090738E+01
2.457132E+02  5.282285E-02  8.638239E+02  3.110676E+01
2.457044E+02  5.350763E-02  8.638135E+02  3.130465E+01
2.456955E+02  5.419297E-02  8.638030E+02  3.150245E+01
2.456864E+02  5.488716E-02  8.637924E+02  3.169918E+01
2.456773E+02  5.556722E-02  8.637821E+02  3.189256E+01
2.456680E+02  5.625736E-02  8.637715E+02  3.208718E+01
2.456586E+02  5.694139E-02  8.637611E+02  3.227897E+01
2.456491E+02  5.762640E-02  8.637505E+02  3.247075E+01
2.456394E+02  5.831709E-02  8.637400E+02  3.266065E+01
2.456298E+02  5.900474E-02  8.637295E+02  3.284837E+01
2.456198E+02  5.969661E-02  8.637190E+02  3.303668E+01
2.456098E+02  6.036937E-02  8.637085E+02  3.322357E+01
2.455996E+02  6.106847E-02  8.636979E+02  3.340995E+01
2.455894E+02  6.175107E-02  8.636874E+02  3.359442E+01
2.455791E+02  6.244568E-02  8.636769E+02  3.377790E+01
2.455686E+02  6.311828E-02  8.636664E+02  3.396064E+01
2.455579E+02  6.381650E-02  8.636558E+02  3.414267E+01
2.455472E+02  6.450145E-02  8.636453E+02  3.432286E+01
2.455364E+02  6.519317E-02  8.636348E+02  3.450311E+01
2.455254E+02  6.586593E-02  8.636243E+02  3.468143E+01
2.455143E+02  6.655758E-02  8.636137E+02  3.485932E+01
2.455030E+02  6.724688E-02  8.636032E+02  3.503656E+01
2.454918E+02  6.793354E-02  8.635926E+02  3.521253E+01
2.454804E+02  6.860893E-02  8.635822E+02  3.538620E+01
2.454687E+02  6.931038E-02  8.635715E+02  3.556175E+01
2.454571E+02  6.998325E-02  8.635610E+02  3.573461E+01
2.454452E+02  7.067808E-02  8.635504E+02  3.590779E+01
2.454332E+02  7.136894E-02  8.635398E+02  3.608036E+01
2.454212E+02  7.204518E-02  8.635293E+02  3.625004E+01
2.454090E+02  7.273388E-02  8.635187E+02  3.642048E+01
2.453968E+02  7.342109E-02  8.635082E+02  3.658933E+01
2.453843E+02  7.410518E-02  8.634975E+02  3.675882E+01
2.453718E+02  7.480003E-02  8.634869E+02  3.692659E+01
2.453591E+02  7.547873E-02  8.634763E+02  3.709348E+01
2.453464E+02  7.616208E-02  8.634658E+02  3.725953E+01
2.453335E+02  7.685066E-02  8.634552E+02  3.742533E+01
2.453205E+02  7.754001E-02  8.634445E+02  3.758996E+01
2.453074E+02  7.822562E-02  8.634340E+02  3.775315E+01
2.452942E+02  7.890658E-02  8.634234E+02  3.791667E+01
2.452808E+02  7.959787E-02  8.634128E+02  3.808016E+01
2.452672E+02  8.028249E-02  8.634021E+02  3.824243E+01
2.452536E+02  8.097634E-02  8.633915E+02  3.840366E+01
2.452400E+02  8.165934E-02  8.633808E+02  3.856405E+01
2.452261E+02  8.233792E-02  8.633703E+02  3.872337E+01
2.452120E+02  8.303417E-02  8.633596E+02  3.888394E+01
2.451981E+02  8.371728E-02  8.633489E+02  3.904246E+01
2.451838E+02  8.440491E-02  8.633383E+02  3.919987E+01
2.451696E+02  8.508308E-02  8.633278E+02  3.935638E+01
2.451551E+02  8.577395E-02  8.633170E+02  3.951363E+01
2.451407E+02  8.645572E-02  8.633065E+02  3.966842E+01
2.451261E+02  8.713464E-02  8.632958E+02  3.982419E+01
2.451113E+02  8.782430E-02  8.632851E+02  3.997951E+01
2.450964E+02  8.851645E-02  8.632745E+02  4.013323E+01
2.450815E+02  8.918968E-02  8.632639E+02  4.028633E+01
2.450663E+02  8.988422E-02  8.632531E+02  4.044018E+01
2.450510E+02  9.056754E-02  8.632425E+02  4.059267E+01
2.450357E+02  9.125426E-02  8.632318E+02  4.074412E+01
2.450204E+02  9.194101E-02  8.632211E+02  4.089483E+01
2.450049E+02  9.262121E-02  8.632105E+02  4.104453E+01
2.449892E+02  9.330015E-02  8.631999E+02  4.119478E+01
2.449733E+02  9.399235E-02  8.631891E+02  4.134488E+01
2.449574E+02  9.467528E-02  8.631784E+02  4.149373E+01
2.449414E+02  9.536527E-02  8.631677E+02  4.164194E+01
2.449254E+02  9.604725E-02  8.631571E+02  4.178899E+01
2.449092E+02  9.673717E-02  8.631463E+02  4.193660E+01
2.448929E+02  9.741088E-02  8.631357E+02  4.208239E+01
2.448764E+02  9.810648E-02  8.631249E+02  4.222964E+01
2.448599E+02  9.877518E-02  8.631143E+02  4.237428E+01
2.448431E+02  9.947324E-02  8.631034E+02  4.252080E+01
2.448265E+02  1.001459E-01  8.630928E+02  4.266437E+01
2.448095E+02  1.008330E-01  8.630821E+02  4.280899E+01
