# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
-2.602061E-04  -1.384138E-04  -3.272871E+02  0.000000E+00
-2.579143E-04  -1.357737E-04  -3.272868E+02  4.247039E-01
-2.602350E-04  -1.305091E-04  -3.272822E+02  2.142330E+00
-2.616793E-04  -1.285660E-04  -3.272751E+02  3.357995E+00
-2.537166E-04  -1.302931E-04  -3.272669E+02  4.352926E+00
-2.572731E-04  -1.261485E-04  -3.272585E+02  5.190763E+00
-2.490751E-04  -1.281992E-04  -3.272495E+02  5.938376E+00
-2.528161E-04  -1.239660E-04  -3.272404E+02  6.621645E+00
-2.441224E-04  -1.258598E-04  -3.272312E+02  7.247435E+00
-2.480505E-04  -1.218762E-04  -3.272219E+02  7.822365E+00
-2.401529E-04  -1.238982E-04  -3.272124E+02  8.369144E+00
-2.441413E-04  -1.195194E-04  -3.272028E+02  8.886390E+00
-2.355853E-04  -1.213196E-04  -3.271934E+02  9.371996E+00
-2.389184E-04  -1.173872E-04  -3.271836E+02  9.843326E+00
-2.308905E-04  -1.191240E-04  -3.271740E+02  1.029042E+01
-2.352434E-04  -1.151443E-04  -3.271643E+02  1.072007E+01
-2.279831E-04  -1.170198E-04  -3.271546E+02  1.113659E+01
-2.315806E-04  -1.128858E-04  -3.271449E+02  1.153659E+01
-2.240281E-04  -1.147004E-04  -3.271351E+02  1.192497E+01
-2.277216E-04  -1.108103E-04  -3.271253E+02  1.230352E+01
-2.198384E-04  -1.126260E-04  -3.271156E+02  1.267027E+01
-2.235801E-04  -1.088369E-04  -3.271059E+02  1.302513E+01
-2.161242E-04  -1.106357E-04  -3.270961E+02  1.337276E+01
-2.197991E-04  -1.069090E-04  -3.270863E+02  1.371296E+01
-2.120776E-04  -1.083629E-04  -3.270766E+02  1.404295E+01
-2.155337E-04  -1.047825E-04  -3.270669E+02  1.436481E+01
-2.081030E-04  -1.067057E-04  -3.270570E+02  1.468370E+01
-2.009290E-04  -1.085956E-04  -3.270473E+02  1.499499E+01
-2.043160E-04  -1.049640E-04  -3.270377E+02  1.529807E+01
-2.062279E-04  -1.018236E-04  -3.270279E+02  1.559706E+01
-1.992687E-04  -1.037062E-04  -3.270181E+02  1.589242E+01
-2.023639E-04  -9.994769E-05  -3.270085E+02  1.617837E+01
-1.958350E-04  -1.018513E-04  -3.269988E+02  1.646145E+01
-1.989105E-04  -9.804727E-05  -3.269890E+02  1.674218E+01
-1.920402E-04  -9.966853E-05  -3.269794E+02  1.701657E+01
-1.950344E-04  -9.645946E-05  -3.269696E+02  1.728766E+01
-1.884799E-04  -9.799864E-05  -3.269601E+02  1.755084E+01
-1.916486E-04  -9.435512E-05  -3.269503E+02  1.781395E+01
-1.849563E-04  -9.593941E-05  -3.269406E+02  1.807263E+01
-1.891418E-04  -9.254969E-05  -3.269309E+02  1.832913E+01
-1.822922E-04  -9.390300E-05  -3.269213E+02  1.857915E+01
-1.848819E-04  -9.033191E-05  -3.269115E+02  1.882949E+01
-1.797051E-04  -9.162002E-05  -3.269020E+02  1.907364E+01
-1.736751E-04  -9.328397E-05  -3.268922E+02  1.931697E+01
-1.767133E-04  -9.009307E-05  -3.268825E+02  1.955640E+01
-1.703777E-04  -8.687934E-05  -3.268729E+02  1.979173E+01
-1.735868E-04  -8.381189E-05  -3.268632E+02  2.002521E+01
-1.675186E-04  -8.529599E-05  -3.268535E+02  2.025596E+01
-1.705400E-04  -8.210993E-05  -3.268437E+02  2.048668E+01
-1.648032E-04  -8.360951E-05  -3.268341E+02  2.071278E+01
-1.676854E-04  -8.082707E-05  -3.268245E+02  2.093252E+01
-1.613362E-04  -8.223714E-05  -3.268148E+02  2.115597E+01
-1.583476E-04  -8.084361E-05  -3.268055E+02  2.137317E+01
-1.512079E-04  -8.139803E-05  -3.267960E+02  2.158973E+01
-1.538285E-04  -7.822548E-05  -3.267864E+02  2.180585E+01
-1.476945E-04  -7.940934E-05  -3.267770E+02  2.201946E+01
