# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
-3.401565E-05  3.104465E-05  -6.204512E+02  0.000000E+00
-3.348523E-05  3.188524E-05  -6.204466E+02  1.000000E+00
-3.392240E-05  3.300857E-05  -6.204396E+02  1.534535E+00
-3.521184E-05  3.211429E-05  -6.204297E+02  2.069070E+00
-3.680794E-05  3.176308E-05  -6.204234E+02  2.339282E+00
-3.842804E-05  3.151411E-05  -6.204166E+02  2.609495E+00
-3.777325E-05  3.227643E-05  -6.204052E+02  3.006986E+00
-3.706070E-05  3.314712E-05  -6.203938E+02  3.354491E+00
-3.801942E-05  3.455309E-05  -6.203828E+02  3.660113E+00
-3.908184E-05  3.602829E-05  -6.203720E+02  3.936798E+00
-4.088754E-05  3.695614E-05  -6.203612E+02  4.194024E+00
-4.239688E-05  3.625777E-05  -6.203506E+02  4.431559E+00
-4.427119E-05  3.489827E-05  -6.203403E+02  4.656417E+00
-4.602231E-05  3.421963E-05  -6.203297E+02  4.873716E+00
-4.791938E-05  3.351910E-05  -6.203191E+02  5.079121E+00
-4.966657E-05  3.253972E-05  -6.203090E+02  5.272190E+00
-5.133843E-05  3.339620E-05  -6.202982E+02  5.464152E+00
-4.991429E-05  3.464404E-05  -6.202880E+02  5.641088E+00
-4.797146E-05  3.618338E-05  -6.202779E+02  5.815045E+00
-4.981448E-05  3.538790E-05  -6.202677E+02  5.987350E+00
-5.146721E-05  3.455363E-05  -6.202571E+02  6.155828E+00
-5.384567E-05  3.355186E-05  -6.202467E+02  6.314675E+00
-5.613369E-05  3.513402E-05  -6.202367E+02  6.468421E+00
-5.868041E-05  3.385227E-05  -6.202263E+02  6.622361E+00
-6.053037E-05  3.301521E-05  -6.202160E+02  6.770816E+00
-6.323286E-05  3.141018E-05  -6.202059E+02  6.914901E+00
-6.579894E-05  3.271575E-05  -6.201957E+02  7.057060E+00
-6.849786E-05  3.207721E-05  -6.201857E+02  7.196457E+00
-7.119228E-05  3.301413E-05  -6.201751E+02  7.335617E+00
-6.897874E-05  3.412442E-05  -6.201649E+02  7.467530E+00
-6.706724E-05  3.542588E-05  -6.201551E+02  7.597361E+00
-6.548127E-05  3.649847E-05  -6.201444E+02  7.729065E+00
-6.805451E-05  3.543275E-05  -6.201345E+02  7.853148E+00
-7.134058E-05  3.411457E-05  -6.201244E+02  7.978085E+00
-7.423083E-05  3.356587E-05  -6.201139E+02  8.103078E+00
-7.687905E-05  3.288414E-05  -6.201040E+02  8.221967E+00
-7.427438E-05  3.439369E-05  -6.200938E+02  8.342113E+00
-7.740149E-05  3.358086E-05  -6.200836E+02  8.460418E+00
-8.064330E-05  3.250947E-05  -6.200734E+02  8.576595E+00
-7.753108E-05  3.396074E-05  -6.200632E+02  8.690657E+00
-8.094481E-05  3.300196E-05  -6.200530E+02  8.803676E+00
-8.475621E-05  3.161151E-05  -6.200429E+02  8.914038E+00
-8.924381E-05  3.014782E-05  -6.200326E+02  9.023894E+00
-9.283364E-05  2.925706E-05  -6.200225E+02  9.130968E+00
-9.678657E-05  2.828618E-05  -6.200124E+02  9.238201E+00
-9.300698E-05  2.954032E-05  -6.200023E+02  9.344814E+00
-9.713755E-05  2.839466E-05  -6.199921E+02  9.450461E+00
-9.331748E-05  2.964042E-05  -6.199818E+02  9.554630E+00
-9.737248E-05  2.847194E-05  -6.199716E+02  9.655948E+00
-1.014171E-04  2.930896E-05  -6.199617E+02  9.756355E+00
-1.045859E-04  3.038381E-05  -6.199511E+02  9.858411E+00
-1.025650E-04  3.148950E-05  -6.199413E+02  9.955562E+00
-1.069055E-04  3.072266E-05  -6.199310E+02  1.005519E+01
-1.112139E-04  2.981287E-05  -6.199206E+02  1.015258E+01
-1.155953E-04  3.107381E-05  -6.199105E+02  1.024742E+01
-1.122966E-04  3.240779E-05  -6.199004E+02  1.034224E+01
-1.079467E-04  3.385509E-05  -6.198902E+02  1.043660E+01
-1.040513E-04  3.542779E-05  -6.198801E+02  1.053013E+01
-1.000362E-04  3.700771E-05  -6.198699E+02  1.062342E+01
-1.037787E-04  3.588484E-05  -6.198596E+02  1.071588E+01
-1.001533E-04  3.751162E-05  -6.198492E+02  1.080673E+01
-1.037282E-04  3.665536E-05  -6.198394E+02  1.089525E+01
-1.083616E-04  3.780968E-05  -6.198290E+02  1.098600E+01
-1.128808E-04  3.686440E-05  -6.198189E+02  1.107442E+01
-1.109656E-04  3.795902E-05  -6.198085E+02  1.116346E+01
-1.157391E-04  3.936583E-05  -6.197984E+02  1.125004E+01
-1.210640E-04  3.811927E-05  -6.197882E+02  1.133697E+01
-1.273239E-04  3.667656E-05  -6.197781E+02  1.142307E+01
-1.319715E-04  3.578718E-05  -6.197676E+02  1.150962E+01
-1.273390E-04  3.743009E-05  -6.197575E+02  1.159332E+01
-1.223192E-04  3.908421E-05  -6.197472E+02  1.167717E+01
-1.180100E-04  4.096790E-05  -6.197370E+02  1.176030E+01
-1.133279E-04  4.309003E-05  -6.197269E+02  1.184284E+01
-1.183293E-04  4.140582E-05  -6.197166E+02  1.192581E+01
-1.130389E-04  4.339635E-05  -6.197061E+02  1.200807E+01
-1.172372E-04  4.243556E-05  -6.196960E+02  1.208776E+01
-1.212680E-04  4.408322E-05  -6.196856E+02  1.216825E+01
-1.184867E-04  4.565252E-05  -6.196757E+02  1.224736E+01
-1.230041E-04  4.466850E-05  -6.196652E+02  1.232861E+01
-1.285494E-04  4.296274E-05  -6.196549E+02  1.240754E+01
-1.225812E-04  4.515877E-05  -6.196446E+02  1.248581E+01
-1.282174E-04  4.365280E-05  -6.196343E+02  1.256345E+01
-1.321403E-04  4.290536E-05  -6.196242E+02  1.264019E+01
-1.270715E-04  4.494840E-05  -6.196138E+02  1.271796E+01
-1.326125E-04  4.387040E-05  -6.196033E+02  1.279515E+01
-1.291112E-04  4.555736E-05  -6.195932E+02  1.287050E+01
-1.260411E-04  4.744396E-05  -6.195828E+02  1.294676E+01
-1.324339E-04  4.524351E-05  -6.195723E+02  1.302171E+01
-1.295505E-04  4.676906E-05  -6.195622E+02  1.309535E+01
-1.367505E-04  4.503851E-05  -6.195518E+02  1.317037E+01
-1.436760E-04  4.307284E-05  -6.195414E+02  1.324402E+01
-1.491973E-04  4.173185E-05  -6.195311E+02  1.331679E+01
-1.425846E-04  4.355188E-05  -6.195207E+02  1.338971E+01
-1.416168E-04  4.491183E-05  -6.195107E+02  1.346206E+01
-1.479573E-04  4.391604E-05  -6.194997E+02  1.353645E+01
-1.513528E-04  4.307944E-05  -6.194898E+02  1.360611E+01
-1.470534E-04  4.478706E-05  -6.194792E+02  1.367886E+01
-1.413198E-04  4.677060E-05  -6.194688E+02  1.375001E+01
-1.351918E-04  4.911199E-05  -6.194584E+02  1.382050E+01
-1.411351E-04  4.759861E-05  -6.194479E+02  1.389084E+01
-1.456120E-04  4.940395E-05  -6.194377E+02  1.395975E+01
-1.503748E-04  4.841587E-05  -6.194270E+02  1.403047E+01
-1.447786E-04  5.047324E-05  -6.194168E+02  1.409870E+01
-1.499140E-04  5.265368E-05  -6.194062E+02  1.416844E+01
-1.581754E-04  5.032993E-05  -6.193958E+02  1.423670E+01
-1.504478E-04  5.305463E-05  -6.193852E+02  1.430473E+01
-1.564678E-04  5.155499E-05  -6.193749E+02  1.437157E+01
-1.618643E-04  4.911579E-05  -6.193646E+02  1.443934E+01
-1.700225E-04  4.759907E-05  -6.193538E+02  1.450757E+01
-1.667060E-04  4.941154E-05  -6.193436E+02  1.457340E+01
-1.601830E-04  5.152171E-05  -6.193330E+02  1.464067E+01
-1.679018E-04  5.030500E-05  -6.193224E+02  1.470697E+01
-1.752883E-04  4.900558E-05  -6.193120E+02  1.477260E+01
-1.684940E-04  5.119884E-05  -6.193015E+02  1.483894E+01
-1.750265E-04  5.024329E-05  -6.192908E+02  1.490476E+01
-1.691644E-04  5.215998E-05  -6.192803E+02  1.496920E+01
-1.614747E-04  5.484838E-05  -6.192696E+02  1.503423E+01
-1.575771E-04  5.676547E-05  -6.192592E+02  1.509791E+01
-1.518512E-04  5.949782E-05  -6.192486E+02  1.516225E+01
-1.585343E-04  5.806175E-05  -6.192382E+02  1.522599E+01
-1.648731E-04  5.682911E-05  -6.192274E+02  1.529064E+01
-1.718953E-04  5.497511E-05  -6.192168E+02  1.535330E+01
-1.666985E-04  5.719113E-05  -6.192062E+02  1.541584E+01
-1.628271E-04  5.924225E-05  -6.191956E+02  1.547859E+01
-1.703146E-04  5.685884E-05  -6.191849E+02  1.554156E+01
-1.668294E-04  5.855806E-05  -6.191744E+02  1.560400E+01
-1.614530E-04  6.138129E-05  -6.191634E+02  1.566681E+01
-1.580509E-04  6.356227E-05  -6.191532E+02  1.572735E+01
-1.614227E-04  6.176860E-05  -6.191421E+02  1.579026E+01
-1.605113E-04  6.361481E-05  -6.191315E+02  1.585057E+01
-1.668917E-04  6.067099E-05  -6.191209E+02  1.591163E+01
-1.598208E-04  6.322578E-05  -6.191101E+02  1.597274E+01
-1.667561E-04  6.166564E-05  -6.190994E+02  1.603330E+01
-1.750344E-04  5.903623E-05  -6.190887E+02  1.609394E+01
