# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.460732E+02  -4.797337E-06  -7.951253E+02  0.000000E+00
2.460725E+02  1.977070E-04  -7.951225E+02  1.851754E+00
2.460716E+02  6.471225E-04  -7.951163E+02  3.355633E+00
2.460704E+02  1.202436E-03  -7.951085E+02  4.566817E+00
2.460691E+02  1.779923E-03  -7.951004E+02  5.574542E+00
2.460676E+02  2.403402E-03  -7.950917E+02  6.457613E+00
2.460659E+02  3.038996E-03  -7.950828E+02  7.257783E+00
2.460644E+02  3.677763E-03  -7.950738E+02  7.990411E+00
2.460626E+02  4.337118E-03  -7.950647E+02  8.669772E+00
2.460609E+02  4.995173E-03  -7.950554E+02  9.306370E+00
2.460591E+02  5.667584E-03  -7.950461E+02  9.908199E+00
2.460573E+02  6.347724E-03  -7.950366E+02  1.048284E+01
2.460569E+02  6.466588E-03  -7.950349E+02  1.058284E+01
2.460565E+02  6.582538E-03  -7.950332E+02  1.068284E+01
2.460545E+02  7.322527E-03  -7.950228E+02  1.126235E+01
2.460523E+02  8.071619E-03  -7.950124E+02  1.182001E+01
2.460501E+02  8.815908E-03  -7.950020E+02  1.235044E+01
2.460479E+02  9.556712E-03  -7.949916E+02  1.285852E+01
2.460456E+02  1.031225E-02  -7.949811E+02  1.334862E+01
2.460434E+02  1.103321E-02  -7.949708E+02  1.381334E+01
2.460410E+02  1.178027E-02  -7.949604E+02  1.426569E+01
2.460385E+02  1.252337E-02  -7.949501E+02  1.470242E+01
2.460360E+02  1.325225E-02  -7.949398E+02  1.512765E+01
2.460335E+02  1.399527E-02  -7.949294E+02  1.553997E+01
2.460308E+02  1.472625E-02  -7.949192E+02  1.593907E+01
2.460281E+02  1.547573E-02  -7.949087E+02  1.633228E+01
2.460254E+02  1.620699E-02  -7.948984E+02  1.671110E+01
2.460225E+02  1.695329E-02  -7.948880E+02  1.708218E+01
2.460196E+02  1.767652E-02  -7.948778E+02  1.744322E+01
2.460167E+02  1.841509E-02  -7.948675E+02  1.779990E+01
2.460135E+02  1.915256E-02  -7.948571E+02  1.815093E+01
2.460104E+02  1.990179E-02  -7.948467E+02  1.849324E+01
2.460072E+02  2.063460E-02  -7.948365E+02  1.882575E+01
2.460038E+02  2.137077E-02  -7.948261E+02  1.915698E+01
2.460004E+02  2.211631E-02  -7.948156E+02  1.948115E+01
2.459969E+02  2.285618E-02  -7.948054E+02  1.979783E+01
2.459934E+02  2.359443E-02  -7.947950E+02  2.011127E+01
2.459897E+02  2.433130E-02  -7.947847E+02  2.041840E+01
2.459859E+02  2.507552E-02  -7.947742E+02  2.072358E+01
2.459820E+02  2.581001E-02  -7.947639E+02  2.102033E+01
2.459781E+02  2.655259E-02  -7.947535E+02  2.131551E+01
2.459740E+02  2.728690E-02  -7.947432E+02  2.160666E+01
2.459698E+02  2.803443E-02  -7.947327E+02  2.189517E+01
2.459655E+02  2.877632E-02  -7.947224E+02  2.217619E+01
2.459612E+02  2.951957E-02  -7.947120E+02  2.245547E+01
2.459568E+02  3.026328E-02  -7.947016E+02  2.273072E+01
2.459522E+02  3.099486E-02  -7.946912E+02  2.300282E+01
2.459475E+02  3.174146E-02  -7.946808E+02  2.327124E+01
2.459428E+02  3.248895E-02  -7.946704E+02  2.353718E+01
2.459378E+02  3.323226E-02  -7.946600E+02  2.380048E+01
2.459328E+02  3.397161E-02  -7.946496E+02  2.406040E+01
2.459278E+02  3.471493E-02  -7.946391E+02  2.431793E+01
2.459226E+02  3.545530E-02  -7.946287E+02  2.457114E+01
2.459172E+02  3.620137E-02  -7.946184E+02  2.482240E+01
2.459118E+02  3.694330E-02  -7.946079E+02  2.507237E+01
2.459062E+02  3.768764E-02  -7.945975E+02  2.531918E+01
2.459006E+02  3.843466E-02  -7.945870E+02  2.556355E+01
2.458949E+02  3.918007E-02  -7.945765E+02  2.580517E+01
2.458890E+02  3.991796E-02  -7.945661E+02  2.604421E+01
2.458830E+02  4.066347E-02  -7.945556E+02  2.628161E+01
