# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.460732E+02  4.317925E-06  -1.090196E+03  0.000000E+00
2.460732E+02  4.593596E-06  -1.090196E+03  1.289944E-01
2.460723E+02  1.628410E-04  -1.090193E+03  2.128994E+00
2.460711E+02  5.033252E-04  -1.090187E+03  3.759012E+00
2.460694E+02  9.020460E-04  -1.090179E+03  5.038823E+00
2.460676E+02  1.334262E-03  -1.090171E+03  6.127991E+00
2.460656E+02  1.779781E-03  -1.090162E+03  7.094437E+00
2.460634E+02  2.242260E-03  -1.090153E+03  7.955305E+00
2.460613E+02  2.717172E-03  -1.090144E+03  8.749723E+00
2.460589E+02  3.194732E-03  -1.090135E+03  9.492788E+00
2.460565E+02  3.677806E-03  -1.090126E+03  1.018159E+01
2.460541E+02  4.161012E-03  -1.090117E+03  1.082999E+01
2.460514E+02  4.674819E-03  -1.090107E+03  1.148139E+01
2.460509E+02  4.758034E-03  -1.090105E+03  1.158139E+01
2.460504E+02  4.840250E-03  -1.090104E+03  1.168139E+01
2.460476E+02  5.349640E-03  -1.090094E+03  1.228433E+01
2.460447E+02  5.897236E-03  -1.090083E+03  1.289320E+01
2.460416E+02  6.425353E-03  -1.090073E+03  1.346812E+01
2.460387E+02  6.979738E-03  -1.090063E+03  1.402441E+01
2.460364E+02  7.523600E-03  -1.090052E+03  1.454658E+01
2.460339E+02  8.065475E-03  -1.090042E+03  1.505665E+01
2.460314E+02  8.616689E-03  -1.090031E+03  1.554986E+01
2.460288E+02  9.155838E-03  -1.090021E+03  1.602488E+01
2.460261E+02  9.703359E-03  -1.090010E+03  1.648684E+01
2.460234E+02  1.025085E-02  -1.090000E+03  1.693656E+01
2.460204E+02  1.079721E-02  -1.089989E+03  1.737170E+01
2.460174E+02  1.134681E-02  -1.089979E+03  1.779633E+01
2.460144E+02  1.188990E-02  -1.089968E+03  1.821309E+01
2.460112E+02  1.242692E-02  -1.089958E+03  1.861430E+01
2.460078E+02  1.298340E-02  -1.089947E+03  1.901363E+01
2.460043E+02  1.352650E-02  -1.089937E+03  1.940251E+01
2.460008E+02  1.406907E-02  -1.089926E+03  1.978274E+01
2.459972E+02  1.460381E-02  -1.089916E+03  2.015416E+01
2.459934E+02  1.516315E-02  -1.089905E+03  2.052244E+01
2.459894E+02  1.570932E-02  -1.089895E+03  2.088064E+01
2.459854E+02  1.624358E-02  -1.089884E+03  2.123431E+01
2.459812E+02  1.678548E-02  -1.089874E+03  2.158064E+01
2.459768E+02  1.733063E-02  -1.089863E+03  2.192432E+01
2.459724E+02  1.788758E-02  -1.089853E+03  2.225965E+01
2.459678E+02  1.842156E-02  -1.089842E+03  2.258882E+01
2.459631E+02  1.897252E-02  -1.089832E+03  2.291442E+01
2.459583E+02  1.952114E-02  -1.089821E+03  2.323655E+01
2.459533E+02  2.005746E-02  -1.089811E+03  2.355192E+01
2.459480E+02  2.060576E-02  -1.089800E+03  2.386406E+01
2.459428E+02  2.114340E-02  -1.089790E+03  2.417243E+01
2.459373E+02  2.169457E-02  -1.089779E+03  2.447878E+01
2.459317E+02  2.223578E-02  -1.089769E+03  2.477716E+01
2.459260E+02  2.278097E-02  -1.089758E+03  2.507429E+01
2.459201E+02  2.332701E-02  -1.089748E+03  2.536729E+01
2.459139E+02  2.387794E-02  -1.089737E+03  2.566001E+01
2.459077E+02  2.441842E-02  -1.089727E+03  2.594583E+01
2.459014E+02  2.496604E-02  -1.089716E+03  2.622870E+01
2.458948E+02  2.551190E-02  -1.089706E+03  2.650905E+01
2.458881E+02  2.605102E-02  -1.089695E+03  2.678589E+01
2.458812E+02  2.659620E-02  -1.089685E+03  2.706153E+01
2.458742E+02  2.714383E-02  -1.089674E+03  2.733297E+01
2.458670E+02  2.768944E-02  -1.089664E+03  2.760105E+01
2.458596E+02  2.822620E-02  -1.089653E+03  2.786876E+01
2.458521E+02  2.877740E-02  -1.089643E+03  2.813153E+01
2.458445E+02  2.931674E-02  -1.089632E+03  2.839187E+01
2.458366E+02  2.985775E-02  -1.089622E+03  2.865077E+01
2.458285E+02  3.040923E-02  -1.089611E+03  2.891058E+01
2.458203E+02  3.095249E-02  -1.089601E+03  2.916307E+01
2.458120E+02  3.149905E-02  -1.089590E+03  2.941524E+01
2.458035E+02  3.203754E-02  -1.089580E+03  2.966503E+01
2.457949E+02  3.258548E-02  -1.089569E+03  2.991132E+01
2.457860E+02  3.312750E-02  -1.089559E+03  3.015723E+01
2.457769E+02  3.367808E-02  -1.089548E+03  3.040274E+01
2.457678E+02  3.422089E-02  -1.089537E+03  3.064319E+01
2.457584E+02  3.475998E-02  -1.089527E+03  3.088321E+01
2.457490E+02  3.530156E-02  -1.089516E+03  3.111922E+01
2.457393E+02  3.584427E-02  -1.089506E+03  3.135468E+01
2.457294E+02  3.639508E-02  -1.089495E+03  3.159010E+01
2.457194E+02  3.693536E-02  -1.089485E+03  3.182180E+01
