# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.460732E+02  1.039097E-04  8.789502E+02  0.000000E+00
2.460732E+02  9.935935E-05  8.789497E+02  1.000000E+00
2.460721E+02  1.009617E-04  8.789462E+02  2.785146E+00
2.460708E+02  9.699596E-04  8.789358E+02  4.570292E+00
2.460699E+02  1.361217E-03  8.789298E+02  5.418611E+00
2.460688E+02  1.812367E-03  8.789227E+02  6.266930E+00
2.460670E+02  2.594202E-03  8.789108E+02  7.481086E+00
2.460651E+02  3.353373E-03  8.788990E+02  8.507783E+00
2.460632E+02  4.091285E-03  8.788878E+02  9.389280E+00
2.460614E+02  4.819326E-03  8.788767E+02  1.018289E+01
2.460594E+02  5.533504E-03  8.788657E+02  1.090502E+01
2.460575E+02  6.239736E-03  8.788548E+02  1.157494E+01
2.460555E+02  6.933168E-03  8.788442E+02  1.220072E+01
2.460534E+02  7.634847E-03  8.788334E+02  1.280172E+01
2.460512E+02  8.327465E-03  8.788227E+02  1.336903E+01
2.460491E+02  9.019068E-03  8.788121E+02  1.391038E+01
2.460467E+02  9.707455E-03  8.788014E+02  1.443163E+01
2.460444E+02  1.040076E-02  8.787907E+02  1.493120E+01
2.460420E+02  1.108626E-02  8.787803E+02  1.541057E+01
2.460394E+02  1.178198E-02  8.787696E+02  1.588303E+01
2.460368E+02  1.247275E-02  8.787590E+02  1.633626E+01
2.460340E+02  1.315055E-02  8.787486E+02  1.677551E+01
2.460313E+02  1.383990E-02  8.787379E+02  1.720723E+01
2.460283E+02  1.452710E-02  8.787274E+02  1.762347E+01
2.460253E+02  1.521223E-02  8.787168E+02  1.803143E+01
2.460222E+02  1.589578E-02  8.787063E+02  1.842898E+01
2.460189E+02  1.657532E-02  8.786958E+02  1.881780E+01
2.460156E+02  1.726247E-02  8.786852E+02  1.920244E+01
2.460121E+02  1.794402E-02  8.786747E+02  1.957444E+01
2.460085E+02  1.863808E-02  8.786641E+02  1.994221E+01
2.460047E+02  1.931114E-02  8.786536E+02  2.030118E+01
2.460009E+02  1.999963E-02  8.786431E+02  2.065415E+01
2.459969E+02  2.068853E-02  8.786325E+02  2.100300E+01
2.459928E+02  2.137526E-02  8.786219E+02  2.134422E+01
2.459885E+02  2.204758E-02  8.786114E+02  2.167851E+01
2.459842E+02  2.274469E-02  8.786009E+02  2.200939E+01
2.459797E+02  2.342744E-02  8.785903E+02  2.233478E+01
2.459751E+02  2.410858E-02  8.785798E+02  2.265420E+01
2.459702E+02  2.479304E-02  8.785692E+02  2.297250E+01
2.459653E+02  2.547432E-02  8.785586E+02  2.328398E+01
2.459603E+02  2.615736E-02  8.785481E+02  2.359035E+01
2.459550E+02  2.685416E-02  8.785375E+02  2.389555E+01
2.459497E+02  2.752717E-02  8.785270E+02  2.419403E+01
2.459442E+02  2.821424E-02  8.785165E+02  2.448956E+01
2.459386E+02  2.890720E-02  8.785058E+02  2.478273E+01
2.459328E+02  2.958262E-02  8.784953E+02  2.506897E+01
2.459268E+02  3.025976E-02  8.784848E+02  2.535506E+01
2.459207E+02  3.095191E-02  8.784742E+02  2.563803E+01
2.459145E+02  3.163379E-02  8.784636E+02  2.591729E+01
2.459081E+02  3.232007E-02  8.784531E+02  2.619266E+01
2.459014E+02  3.300798E-02  8.784424E+02  2.646710E+01
2.458949E+02  3.368700E-02  8.784318E+02  2.673681E+01
2.458880E+02  3.436348E-02  8.784213E+02  2.700327E+01
2.458810E+02  3.506542E-02  8.784107E+02  2.726894E+01
2.458738E+02  3.573647E-02  8.784001E+02  2.753014E+01
2.458664E+02  3.642245E-02  8.783895E+02  2.779111E+01
2.458590E+02  3.710411E-02  8.783790E+02  2.804767E+01
2.458513E+02  3.779051E-02  8.783683E+02  2.830338E+01
2.458435E+02  3.847055E-02  8.783577E+02  2.855599E+01
2.458355E+02  3.915216E-02  8.783472E+02  2.880590E+01
2.458273E+02  3.985047E-02  8.783365E+02  2.905487E+01
2.458191E+02  4.052873E-02  8.783260E+02  2.929943E+01
2.458106E+02  4.120244E-02  8.783154E+02  2.954413E+01
2.458021E+02  4.188614E-02  8.783047E+02  2.978580E+01
2.457933E+02  4.256436E-02  8.782942E+02  3.002407E+01
2.457844E+02  4.325381E-02  8.782835E+02  3.026339E+01
2.457753E+02  4.393513E-02  8.782730E+02  3.049812E+01
2.457660E+02  4.461177E-02  8.782624E+02  3.073226E+01
2.457566E+02  4.530278E-02  8.782517E+02  3.096555E+01
2.457470E+02  4.598126E-02  8.782412E+02  3.119592E+01
2.457372E+02  4.666529E-02  8.782305E+02  3.142538E+01
2.457273E+02  4.735643E-02  8.782199E+02  3.165285E+01
2.457172E+02  4.803262E-02  8.782093E+02  3.187802E+01
2.457070E+02  4.871383E-02  8.781987E+02  3.210153E+01
2.456966E+02  4.938336E-02  8.781881E+02  3.232432E+01
2.456860E+02  5.007331E-02  8.781774E+02  3.254564E+01
2.456753E+02  5.075160E-02  8.781668E+02  3.276419E+01
2.456644E+02  5.143945E-02  8.781561E+02  3.298326E+01
2.456534E+02  5.211745E-02  8.781455E+02  3.319851E+01
2.456422E+02  5.279050E-02  8.781350E+02  3.341293E+01
2.456307E+02  5.347511E-02  8.781243E+02  3.362748E+01
2.456191E+02  5.416045E-02  8.781136E+02  3.384052E+01
2.456075E+02  5.484151E-02  8.781031E+02  3.404954E+01
2.455956E+02  5.552597E-02  8.780924E+02  3.425998E+01
2.455836E+02  5.620295E-02  8.780817E+02  3.446798E+01
2.455714E+02  5.687821E-02  8.780711E+02  3.467397E+01
2.455590E+02  5.755583E-02  8.780605E+02  3.488006E+01
2.455465E+02  5.823720E-02  8.780498E+02  3.508600E+01
2.455338E+02  5.891612E-02  8.780391E+02  3.528913E+01
2.455210E+02  5.959171E-02  8.780286E+02  3.549052E+01
2.455078E+02  6.027743E-02  8.780178E+02  3.569282E+01
2.454947E+02  6.095762E-02  8.780072E+02  3.589176E+01
2.454814E+02  6.163130E-02  8.779965E+02  3.609073E+01
2.454679E+02  6.231157E-02  8.779859E+02  3.628814E+01
2.454542E+02  6.298704E-02  8.779752E+02  3.648552E+01
2.454403E+02  6.366122E-02  8.779645E+02  3.668037E+01
2.454264E+02  6.434170E-02  8.779539E+02  3.687480E+01
2.454122E+02  6.502078E-02  8.779432E+02  3.706810E+01
2.453980E+02  6.570048E-02  8.779325E+02  3.726063E+01
2.453835E+02  6.638278E-02  8.779218E+02  3.745178E+01
2.453689E+02  6.705342E-02  8.779111E+02  3.764226E+01
2.453541E+02  6.773609E-02  8.779005E+02  3.783164E+01
2.453390E+02  6.841009E-02  8.778898E+02  3.802055E+01
2.453240E+02  6.909305E-02  8.778791E+02  3.820859E+01
2.453087E+02  6.975838E-02  8.778684E+02  3.839423E+01
2.452933E+02  7.043441E-02  8.778578E+02  3.857941E+01
2.452778E+02  7.111053E-02  8.778471E+02  3.876482E+01
2.452620E+02  7.179126E-02  8.778363E+02  3.894844E+01
2.452462E+02  7.245601E-02  8.778258E+02  3.913003E+01
2.452301E+02  7.312975E-02  8.778150E+02  3.931291E+01
2.452139E+02  7.381506E-02  8.778042E+02  3.949490E+01
2.451976E+02  7.448762E-02  8.777936E+02  3.967443E+01
2.451811E+02  7.516709E-02  8.777828E+02  3.985411E+01
2.451644E+02  7.583502E-02  8.777722E+02  4.003229E+01
2.451474E+02  7.651335E-02  8.777614E+02  4.021214E+01
2.451304E+02  7.718761E-02  8.777506E+02  4.038914E+01
2.451134E+02  7.785767E-02  8.777400E+02  4.056481E+01
2.450960E+02  7.854045E-02  8.777292E+02  4.074126E+01
2.450787E+02  7.920336E-02  8.777185E+02  4.091505E+01
2.450610E+02  7.989040E-02  8.777077E+02  4.109038E+01
2.450433E+02  8.055785E-02  8.776970E+02  4.126305E+01
2.450254E+02  8.123603E-02  8.776863E+02  4.143594E+01
2.450073E+02  8.190582E-02  8.776755E+02  4.160830E+01
2.449890E+02  8.258919E-02  8.776647E+02  4.177981E+01
2.449706E+02  8.325183E-02  8.776540E+02  4.195002E+01
2.449520E+02  8.393896E-02  8.776431E+02  4.212106E+01
2.449335E+02  8.459425E-02  8.776325E+02  4.228876E+01
