# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.460732E+02  4.799333E-05  3.862249E+02  0.000000E+00
2.460734E+02  4.902010E-05  3.862250E+02  1.124073E+00
2.460720E+02  2.048617E-03  3.862150E+02  3.124073E+00
2.460701E+02  2.110325E-03  3.862116E+02  5.124073E+00
2.460674E+02  3.806272E-03  3.861993E+02  7.124073E+00
2.460616E+02  6.856528E-03  3.861788E+02  9.498764E+00
2.460516E+02  1.239704E-02  3.861425E+02  1.266502E+01
2.460272E+02  2.240038E-02  3.860749E+02  1.688669E+01
2.459731E+02  3.933045E-02  3.859625E+02  2.190103E+01
2.459716E+02  3.967459E-02  3.859602E+02  2.200103E+01
2.459698E+02  4.000265E-02  3.859577E+02  2.210103E+01
2.459282E+02  5.009419E-02  3.858913E+02  2.441756E+01
2.458727E+02  6.173856E-02  3.858142E+02  2.673409E+01
2.457516E+02  8.331612E-02  3.856693E+02  3.030812E+01
2.456027E+02  1.062321E-01  3.855150E+02  3.337592E+01
2.454298E+02  1.303409E-01  3.853501E+02  3.609157E+01
2.452326E+02  1.562441E-01  3.851731E+02  3.856461E+01
2.450105E+02  1.835596E-01  3.849837E+02  4.085632E+01
2.447601E+02  2.134331E-01  3.847760E+02  4.304561E+01
2.444907E+02  2.443952E-01  3.845581E+02  4.507889E+01
2.441986E+02  2.771985E-01  3.843263E+02  4.701335E+01
2.438811E+02  3.121604E-01  3.840776E+02  4.888787E+01
2.435431E+02  3.487379E-01  3.838162E+02  5.067812E+01
2.431958E+02  3.860666E-01  3.835482E+02  5.235179E+01
2.428294E+02  4.247601E-01  3.832680E+02  5.397145E+01
2.424358E+02  4.661487E-01  3.829686E+02  5.557184E+01
2.420328E+02  5.081670E-01  3.826626E+02  5.709296E+01
2.416028E+02  5.525444E-01  3.823380E+02  5.860216E+01
2.411636E+02  5.975787E-01  3.820062E+02  6.004391E+01
2.407067E+02  6.444714E-01  3.816610E+02  6.145404E+01
2.402430E+02  6.916087E-01  3.813107E+02  6.280258E+01
2.397583E+02  7.408042E-01  3.809450E+02  6.413564E+01
2.392882E+02  7.885998E-01  3.805881E+02  6.536497E+01
2.387833E+02  8.395814E-01  3.802052E+02  6.661975E+01
2.382638E+02  8.919832E-01  3.798100E+02  6.785130E+01
2.377052E+02  9.483861E-01  3.793839E+02  6.911602E+01
2.371665E+02  1.002609E+00  3.789730E+02  7.028039E+01
2.366054E+02  1.059079E+00  3.785427E+02  7.144274E+01
2.360349E+02  1.116426E+00  3.781033E+02  7.257883E+01
2.354618E+02  1.174176E+00  3.776606E+02  7.367531E+01
2.348746E+02  1.232990E+00  3.772063E+02  7.475498E+01
2.342899E+02  1.291945E+00  3.767498E+02  7.579641E+01
2.336446E+02  1.356911E+00  3.762448E+02  7.690275E+01
2.330285E+02  1.418958E+00  3.757598E+02  7.792235E+01
2.323949E+02  1.482828E+00  3.752595E+02  7.893584E+01
2.317674E+02  1.546150E+00  3.747612E+02  7.990853E+01
2.311132E+02  1.612214E+00  3.742393E+02  8.089059E+01
2.304684E+02  1.677316E+00  3.737229E+02  8.182869E+01
2.298093E+02  1.743973E+00  3.731907E+02  8.276115E+01
2.291425E+02  1.811462E+00  3.726506E+02  8.367621E+01
2.284656E+02  1.880193E+00  3.720984E+02  8.457882E+01
2.277931E+02  1.948557E+00  3.715465E+02  8.545209E+01
2.270926E+02  2.019672E+00  3.709699E+02  8.633614E+01
2.263844E+02  2.091868E+00  3.703815E+02  8.720611E+01
