# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
-1.133836E-02  -2.075542E-04  -7.245519E+02  1.528360E+02
-1.065784E-02  -1.923414E-04  -7.245509E+02  1.528367E+02
-1.122133E-02  -2.022582E-04  -7.245456E+02  1.528405E+02
-7.517271E-03  -1.405451E-04  -7.245433E+02  1.528420E+02
-7.449106E-03  -1.337729E-04  -7.245411E+02  1.528436E+02
-6.104722E-03  -1.166567E-04  -7.245183E+02  1.528596E+02
-1.405099E-03  -2.158519E-05  -7.245060E+02  1.528684E+02
-1.600455E-03  -2.534029E-05  -7.245055E+02  1.528687E+02
-1.513766E-03  -2.616852E-05  -7.245049E+02  1.528691E+02
-1.476562E-03  -2.551145E-05  -7.245038E+02  1.528698E+02
-1.582913E-03  -2.636564E-05  -7.245018E+02  1.528713E+02
-9.353666E-05  1.927523E-07  -7.244976E+02  1.528742E+02
-4.623447E-03  -8.520063E-05  -7.244893E+02  1.528801E+02
-4.736728E-03  -8.925612E-05  -7.244819E+02  1.528853E+02
-6.279777E-03  -1.157142E-04  -7.244744E+02  1.528906E+02
-9.483500E-03  -1.797620E-04  -7.244595E+02  1.529011E+02
-1.226163E-02  -2.258571E-04  -7.244526E+02  1.529059E+02
-1.240442E-02  -2.271760E-04  -7.244458E+02  1.529107E+02
-7.841343E-03  -1.514532E-04  -7.244321E+02  1.529203E+02
-7.368298E-03  -1.356578E-04  -7.244238E+02  1.529262E+02
-4.946439E-03  -8.973616E-05  -7.244154E+02  1.529321E+02
2.107058E-03  3.886754E-05  -7.244065E+02  1.529383E+02
2.724836E-03  5.056926E-05  -7.243977E+02  1.529446E+02
1.638977E-03  3.246758E-05  -7.243799E+02  1.529571E+02
1.370425E-03  2.636031E-05  -7.243735E+02  1.529616E+02
1.315498E-03  2.478933E-05  -7.243670E+02  1.529661E+02
7.240510E-04  1.368141E-05  -7.243648E+02  1.529676E+02
3.258077E-04  6.994384E-06  -7.243627E+02  1.529692E+02
4.350952E-04  9.375113E-06  -7.243541E+02  1.529753E+02
-2.094343E-04  -2.629267E-06  -7.243358E+02  1.529881E+02
2.785386E-03  5.389860E-05  -7.243289E+02  1.529930E+02
8.286774E-04  1.821102E-05  -7.243220E+02  1.529978E+02
-4.258940E-03  -7.771695E-05  -7.243082E+02  1.530075E+02
-5.392752E-03  -1.026908E-04  -7.242993E+02  1.530138E+02
-4.376230E-03  -7.822736E-05  -7.242903E+02  1.530200E+02
-2.575380E-03  -4.593541E-05  -7.242763E+02  1.530299E+02
-5.919706E-03  -1.126095E-04  -7.242623E+02  1.530398E+02
-6.976468E-03  -1.276135E-04  -7.242312E+02  1.530616E+02
-4.952119E-03  -9.521108E-05  -7.242136E+02  1.530739E+02
-7.966542E-03  -1.519251E-04  -7.242060E+02  1.530793E+02
-8.667965E-03  -1.635391E-04  -7.241983E+02  1.530847E+02
-7.194387E-03  -1.286397E-04  -7.241775E+02  1.530994E+02
-1.433098E-02  -2.694610E-04  -7.241540E+02  1.531157E+02
-1.408349E-02  -2.756071E-04  -7.241391E+02  1.531262E+02
-2.212019E-02  -4.181210E-04  -7.241262E+02  1.531353E+02
-2.031397E-02  -3.894433E-04  -7.241109E+02  1.531460E+02
-1.692081E-02  -3.223902E-04  -7.240955E+02  1.531568E+02
-1.552218E-02  -2.944921E-04  -7.240781E+02  1.531690E+02
-1.300592E-02  -2.607981E-04  -7.240606E+02  1.531812E+02
-1.025716E-02  -1.973185E-04  -7.240254E+02  1.532059E+02
-6.542135E-03  -1.316843E-04  -7.239982E+02  1.532250E+02
1.454236E-03  2.627358E-05  -7.239758E+02  1.532406E+02
1.560828E-03  2.815650E-05  -7.239674E+02  1.532466E+02
8.257154E-04  1.432631E-05  -7.239588E+02  1.532526E+02
8.313199E-04  1.356539E-05  -7.239245E+02  1.532766E+02
1.660211E-03  2.890977E-05  -7.239107E+02  1.532862E+02
-1.859647E-03  -3.863999E-05  -7.238969E+02  1.532959E+02
-2.447801E-03  -5.161296E-05  -7.238795E+02  1.533080E+02
-4.837407E-03  -9.479161E-05  -7.238622E+02  1.533201E+02
-8.291178E-03  -1.559677E-04  -7.238457E+02  1.533317E+02
-6.173115E-03  -1.225450E-04  -7.238291E+02  1.533433E+02
-5.782253E-03  -1.208806E-04  -7.237950E+02  1.533671E+02
-7.490894E-03  -1.550088E-04  -7.237647E+02  1.533882E+02
-5.551574E-03  -1.113942E-04  -7.237481E+02  1.533999E+02
-2.604491E-03  -5.029258E-05  -7.237314E+02  1.534115E+02
2.966484E-04  2.688430E-06  -7.236966E+02  1.534358E+02
1.099098E-03  1.798259E-05  -7.236625E+02  1.534596E+02
-6.865327E-04  -1.687034E-05  -7.236274E+02  1.534841E+02
-1.549593E-04  -6.663102E-06  -7.235979E+02  1.535047E+02
-4.062463E-03  -8.159426E-05  -7.235743E+02  1.535211E+02
-3.482095E-05  -6.660124E-06  -7.235475E+02  1.535397E+02
-3.031231E-03  -6.389178E-05  -7.235167E+02  1.535612E+02
-8.782860E-04  -1.969087E-05  -7.234828E+02  1.535849E+02
-1.812164E-03  -3.824157E-05  -7.234473E+02  1.536095E+02
-3.125091E-03  -6.515266E-05  -7.234122E+02  1.536340E+02
-3.893511E-03  -8.278836E-05  -7.233776E+02  1.536580E+02
-2.009611E-03  -4.297895E-05  -7.233427E+02  1.536823E+02
-5.472407E-04  -1.293669E-05  -7.233072E+02  1.537069E+02
1.037633E-03  1.714567E-05  -7.232720E+02  1.537314E+02
1.145439E-03  1.810858E-05  -7.232379E+02  1.537551E+02
-2.028997E-03  -4.192479E-05  -7.232033E+02  1.537791E+02
-2.690032E-03  -5.276688E-05  -7.231709E+02  1.538016E+02
3.715771E-04  8.824221E-06  -7.231386E+02  1.538240E+02
-6.964532E-04  -1.186245E-05  -7.231050E+02  1.538473E+02
1.576607E-03  3.153780E-05  -7.230690E+02  1.538723E+02
8.707339E-05  2.683516E-06  -7.230329E+02  1.538973E+02
-1.398767E-03  -2.469751E-05  -7.229968E+02  1.539223E+02
-1.335801E-03  -2.462579E-05  -7.229607E+02  1.539473E+02
-3.394223E-05  2.239068E-07  -7.229257E+02  1.539715E+02
-1.479306E-04  -1.849302E-06  -7.228905E+02  1.539958E+02
-1.265651E-04  -1.894628E-06  -7.228554E+02  1.540201E+02
1.288712E-03  2.559260E-05  -7.228200E+02  1.540446E+02
2.401840E-03  4.925597E-05  -7.227845E+02  1.540691E+02
3.506752E-03  7.430875E-05  -7.227488E+02  1.540937E+02
2.187535E-03  5.108655E-05  -7.227150E+02  1.541171E+02
2.664868E-03  5.773803E-05  -7.226798E+02  1.541414E+02
1.286817E-04  8.824194E-06  -7.226457E+02  1.541649E+02
5.285257E-04  1.603664E-05  -7.226118E+02  1.541883E+02
3.772298E-03  8.279553E-05  -7.225774E+02  1.542119E+02
3.446686E-03  7.346815E-05  -7.225439E+02  1.542350E+02
3.561610E-03  7.900001E-05  -7.225081E+02  1.542597E+02
2.386317E-03  5.413415E-05  -7.224730E+02  1.542839E+02
3.410956E-03  7.069633E-05  -7.224383E+02  1.543078E+02
2.998679E-03  6.530567E-05  -7.224034E+02  1.543318E+02
4.011479E-03  8.894617E-05  -7.223685E+02  1.543558E+02
2.929198E-03  6.499161E-05  -7.223336E+02  1.543798E+02
1.661418E-03  4.209886E-05  -7.222976E+02  1.544045E+02
2.028587E-03  4.722156E-05  -7.222624E+02  1.544287E+02
3.109178E-03  6.570764E-05  -7.222273E+02  1.544527E+02
3.919193E-03  8.547356E-05  -7.221919E+02  1.544770E+02
4.869232E-03  1.091180E-04  -7.221565E+02  1.545013E+02
4.715503E-03  1.107267E-04  -7.221211E+02  1.545256E+02
3.716859E-03  8.736521E-05  -7.220854E+02  1.545501E+02
2.946139E-03  6.922999E-05  -7.220498E+02  1.545745E+02
9.305397E-04  2.868437E-05  -7.220143E+02  1.545988E+02
-4.599472E-04  1.300730E-06  -7.219792E+02  1.546228E+02
-1.871742E-04  6.852796E-06  -7.219444E+02  1.546466E+02
-2.310316E-04  5.851474E-06  -7.219091E+02  1.546708E+02
-5.324830E-04  -2.280051E-07  -7.218738E+02  1.546949E+02
-7.065848E-04  -3.836319E-06  -7.218380E+02  1.547195E+02
-9.213608E-05  8.698533E-06  -7.218022E+02  1.547438E+02
-5.737452E-04  -6.031193E-07  -7.217670E+02  1.547680E+02
-2.673566E-04  5.763474E-06  -7.217309E+02  1.547926E+02
1.194597E-03  3.341508E-05  -7.216960E+02  1.548164E+02
-2.816542E-04  4.624832E-06  -7.216614E+02  1.548400E+02
7.596320E-04  2.421269E-05  -7.216270E+02  1.548635E+02
-8.797538E-04  -8.437132E-06  -7.215929E+02  1.548867E+02
-9.493968E-05  6.744415E-06  -7.215585E+02  1.549102E+02
-2.971581E-04  3.265273E-06  -7.215228E+02  1.549345E+02
-8.558387E-04  -8.664363E-06  -7.214877E+02  1.549584E+02
-8.512408E-04  -9.083779E-06  -7.214522E+02  1.549826E+02
-4.001255E-04  1.784763E-07  -7.214171E+02  1.550064E+02
5.454100E-04  1.839704E-05  -7.213816E+02  1.550306E+02
2.322614E-04  1.180413E-05  -7.213461E+02  1.550547E+02
5.987251E-04  1.820998E-05  -7.213109E+02  1.550787E+02
3.462274E-04  1.288176E-05  -7.212750E+02  1.551031E+02
-4.690479E-04  -3.438403E-06  -7.212392E+02  1.551274E+02
-2.688603E-04  5.143354E-07  -7.212036E+02  1.551515E+02
-5.281089E-04  -4.866610E-06  -7.211685E+02  1.551754E+02
-7.499149E-04  -1.009172E-05  -7.211329E+02  1.551995E+02
-1.058676E-03  -1.730408E-05  -7.210976E+02  1.552234E+02
6.140269E-04  1.564814E-05  -7.210626E+02  1.552471E+02
1.799367E-03  4.095142E-05  -7.210271E+02  1.552712E+02
2.151373E-03  5.046528E-05  -7.209913E+02  1.552954E+02
1.324287E-03  3.291180E-05  -7.209561E+02  1.553193E+02
9.552712E-04  2.599511E-05  -7.209206E+02  1.553433E+02
1.234572E-04  9.020260E-06  -7.208854E+02  1.553671E+02
-4.684240E-04  -2.598847E-06  -7.208496E+02  1.553913E+02
7.848031E-04  2.190442E-05  -7.208145E+02  1.554150E+02
4.875322E-04  1.628836E-05  -7.207794E+02  1.554387E+02
5.175811E-04  1.611352E-05  -7.207440E+02  1.554627E+02
9.273327E-05  7.620007E-06  -7.207087E+02  1.554865E+02
1.278069E-03  3.223077E-05  -7.206735E+02  1.555103E+02
2.618230E-03  6.206178E-05  -7.206377E+02  1.555344E+02
1.683642E-03  4.507208E-05  -7.206024E+02  1.555582E+02
1.181602E-03  3.341279E-05  -7.205666E+02  1.555824E+02
1.335835E-03  3.512361E-05  -7.205311E+02  1.556063E+02
1.917190E-03  4.853637E-05  -7.204960E+02  1.556299E+02
8.262375E-04  2.582671E-05  -7.204609E+02  1.556535E+02
-5.810673E-04  -2.559116E-06  -7.204260E+02  1.556770E+02
