# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
1.580536E-02  2.392064E-04  -1.036884E+03  1.566577E+02
1.183838E-02  1.778226E-04  -1.036863E+03  1.566750E+02
1.020135E-02  1.638961E-04  -1.036840E+03  1.566927E+02
9.564207E-03  1.500506E-04  -1.036818E+03  1.567106E+02
8.794061E-03  1.349635E-04  -1.036795E+03  1.567287E+02
6.282133E-03  9.816941E-05  -1.036772E+03  1.567468E+02
3.637839E-03  5.970847E-05  -1.036750E+03  1.567640E+02
4.059738E-03  6.267996E-05  -1.036727E+03  1.567822E+02
5.727660E-03  8.623806E-05  -1.036705E+03  1.567998E+02
5.599230E-03  8.139610E-05  -1.036683E+03  1.568176E+02
2.609297E-03  4.039527E-05  -1.036660E+03  1.568358E+02
1.274566E-03  2.443754E-05  -1.036637E+03  1.568542E+02
1.182133E-03  2.372376E-05  -1.036614E+03  1.568718E+02
3.625277E-03  5.509871E-05  -1.036594E+03  1.568882E+02
1.609814E-03  2.788247E-05  -1.036570E+03  1.569066E+02
5.670163E-04  1.574004E-05  -1.036549E+03  1.569239E+02
2.514857E-03  4.130457E-05  -1.036526E+03  1.569419E+02
1.968002E-03  3.580101E-05  -1.036503E+03  1.569597E+02
2.959191E-03  4.725414E-05  -1.036482E+03  1.569768E+02
1.044696E-03  2.110299E-05  -1.036458E+03  1.569954E+02
5.073174E-04  1.510356E-05  -1.036435E+03  1.570134E+02
-1.036567E-03  -4.887717E-06  -1.036413E+03  1.570307E+02
8.937688E-04  1.948970E-05  -1.036391E+03  1.570487E+02
5.960707E-04  1.652286E-05  -1.036367E+03  1.570670E+02
-6.893044E-04  -5.999593E-07  -1.036346E+03  1.570838E+02
2.096577E-03  3.508526E-05  -1.036323E+03  1.571021E+02
2.898840E-03  4.460253E-05  -1.036300E+03  1.571200E+02
2.889271E-03  4.279941E-05  -1.036278E+03  1.571378E+02
1.538138E-03  2.301868E-05  -1.036254E+03  1.571561E+02
1.592735E-03  2.262958E-05  -1.036231E+03  1.571744E+02
1.162728E-03  1.812649E-05  -1.036215E+03  1.571869E+02
2.337724E-04  5.955975E-06  -1.036200E+03  1.571994E+02
-6.474015E-04  -5.817939E-06  -1.036184E+03  1.572119E+02
8.535592E-05  3.940547E-06  -1.036168E+03  1.572244E+02
-3.077434E-04  -1.273645E-06  -1.036145E+03  1.572425E+02
-5.953036E-04  -4.634963E-06  -1.036121E+03  1.572608E+02
-1.894609E-03  -2.229844E-05  -1.036098E+03  1.572789E+02
-1.858346E-03  -2.240328E-05  -1.036075E+03  1.572970E+02
-1.431702E-03  -1.798748E-05  -1.036052E+03  1.573152E+02
-1.803320E-04  -1.575964E-06  -1.036029E+03  1.573332E+02
3.348548E-03  4.593566E-05  -1.036007E+03  1.573510E+02
3.196720E-03  4.885740E-05  -1.035985E+03  1.573683E+02
3.813780E-03  5.922954E-05  -1.035962E+03  1.573861E+02
-9.215873E-05  8.945001E-06  -1.035941E+03  1.574027E+02
1.256637E-03  2.488550E-05  -1.035921E+03  1.574185E+02
1.584753E-03  2.977071E-05  -1.035898E+03  1.574366E+02
3.165868E-03  5.190910E-05  -1.035874E+03  1.574549E+02
5.582253E-03  8.944307E-05  -1.035851E+03  1.574729E+02
6.060746E-03  9.875235E-05  -1.035828E+03  1.574908E+02
5.522254E-03  9.471348E-05  -1.035806E+03  1.575082E+02
5.277763E-03  8.887388E-05  -1.035783E+03  1.575261E+02
3.255045E-03  6.041835E-05  -1.035760E+03  1.575444E+02
3.418608E-03  6.055928E-05  -1.035737E+03  1.575624E+02
1.880065E-03  3.902826E-05  -1.035714E+03  1.575802E+02
2.283651E-03  4.304239E-05  -1.035691E+03  1.575981E+02
1.332208E-03  3.134669E-05  -1.035669E+03  1.576157E+02
3.588747E-03  6.341963E-05  -1.035646E+03  1.576333E+02
4.142456E-03  6.861744E-05  -1.035624E+03  1.576511E+02
2.983139E-03  5.100392E-05  -1.035601E+03  1.576688E+02
3.323332E-03  5.724913E-05  -1.035578E+03  1.576865E+02
4.160358E-03  7.057386E-05  -1.035555E+03  1.577046E+02
4.085110E-03  7.196482E-05  -1.035533E+03  1.577221E+02
3.036599E-03  5.648159E-05  -1.035510E+03  1.577395E+02
5.081837E-03  8.703082E-05  -1.035488E+03  1.577565E+02
5.041928E-03  8.959173E-05  -1.035466E+03  1.577738E+02
5.831068E-03  1.052191E-04  -1.035444E+03  1.577916E+02
5.390190E-03  9.644496E-05  -1.035421E+03  1.578095E+02
5.449555E-03  9.406753E-05  -1.035397E+03  1.578275E+02
5.996737E-03  1.049574E-04  -1.035375E+03  1.578449E+02
6.307240E-03  1.056560E-04  -1.035352E+03  1.578627E+02
4.287543E-03  8.187543E-05  -1.035330E+03  1.578802E+02
3.340916E-03  6.746490E-05  -1.035308E+03  1.578976E+02
3.674752E-03  6.909243E-05  -1.035285E+03  1.579153E+02
3.738075E-03  6.745990E-05  -1.035262E+03  1.579328E+02
3.612097E-03  6.405376E-05  -1.035239E+03  1.579509E+02
4.033859E-03  7.195063E-05  -1.035216E+03  1.579690E+02
4.190703E-03  7.670941E-05  -1.035192E+03  1.579874E+02
2.397665E-03  5.137400E-05  -1.035170E+03  1.580049E+02
2.556474E-03  5.094389E-05  -1.035147E+03  1.580227E+02
2.263758E-03  4.510168E-05  -1.035124E+03  1.580405E+02
1.366664E-03  3.216986E-05  -1.035100E+03  1.580589E+02
1.371577E-03  3.126451E-05  -1.035077E+03  1.580767E+02
2.677805E-03  4.702327E-05  -1.035054E+03  1.580946E+02
2.719202E-03  4.874120E-05  -1.035030E+03  1.581128E+02
-4.965889E-05  1.231822E-05  -1.035008E+03  1.581301E+02
9.368016E-04  2.412250E-05  -1.034986E+03  1.581469E+02
-1.586173E-04  1.005772E-05  -1.034963E+03  1.581651E+02
-8.487989E-05  1.069922E-05  -1.034940E+03  1.581832E+02
1.279877E-03  2.756074E-05  -1.034917E+03  1.582009E+02
2.329722E-03  4.042000E-05  -1.034894E+03  1.582187E+02
3.623355E-03  5.934396E-05  -1.034871E+03  1.582366E+02
4.662248E-03  7.617040E-05  -1.034848E+03  1.582544E+02
4.793975E-03  8.032433E-05  -1.034825E+03  1.582722E+02
3.983028E-03  6.683270E-05  -1.034802E+03  1.582900E+02
4.747056E-03  7.923781E-05  -1.034778E+03  1.583080E+02
2.008606E-03  4.131009E-05  -1.034756E+03  1.583250E+02
1.428052E-03  3.253198E-05  -1.034733E+03  1.583428E+02
1.566102E-03  3.357759E-05  -1.034710E+03  1.583605E+02
1.377039E-03  3.014869E-05  -1.034687E+03  1.583782E+02
2.425637E-03  4.328834E-05  -1.034664E+03  1.583960E+02
2.528455E-03  4.335457E-05  -1.034641E+03  1.584139E+02
2.010437E-03  3.855898E-05  -1.034618E+03  1.584314E+02
2.281469E-03  4.083587E-05  -1.034595E+03  1.584495E+02
3.716759E-03  6.224609E-05  -1.034571E+03  1.584677E+02
4.571852E-03  7.626080E-05  -1.034548E+03  1.584855E+02
6.826221E-03  1.103190E-04  -1.034525E+03  1.585032E+02
5.049047E-03  9.156379E-05  -1.034503E+03  1.585200E+02
3.954112E-03  7.457458E-05  -1.034480E+03  1.585377E+02
5.084130E-03  9.314451E-05  -1.034458E+03  1.585551E+02
5.761252E-03  1.061460E-04  -1.034435E+03  1.585729E+02
4.759703E-03  9.567317E-05  -1.034411E+03  1.585910E+02
5.584309E-03  1.035656E-04  -1.034388E+03  1.586090E+02
6.507989E-03  1.200456E-04  -1.034365E+03  1.586267E+02
7.621282E-03  1.392225E-04  -1.034342E+03  1.586445E+02
6.710115E-03  1.209617E-04  -1.034318E+03  1.586624E+02
4.636670E-03  9.123554E-05  -1.034295E+03  1.586804E+02
