# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.460732E+02  1.111356E-05  4.911101E+02  0.000000E+00
2.460732E+02  1.551314E-05  4.911100E+02  4.221724E-01
2.460723E+02  4.053083E-04  4.911066E+02  2.422172E+00
2.460712E+02  1.164375E-03  4.911001E+02  4.130941E+00
2.460697E+02  2.035279E-03  4.910925E+02  5.477886E+00
2.460681E+02  3.017744E-03  4.910841E+02  6.632992E+00
2.460664E+02  4.017674E-03  4.910754E+02  7.651374E+00
2.460644E+02  5.147382E-03  4.910656E+02  8.655395E+00
2.460642E+02  5.263146E-03  4.910646E+02  8.755395E+00
2.460640E+02  5.393424E-03  4.910635E+02  8.855395E+00
2.460618E+02  6.558552E-03  4.910534E+02  9.752103E+00
2.460595E+02  7.841787E-03  4.910424E+02  1.064533E+01
2.460572E+02  9.113316E-03  4.910315E+02  1.146008E+01
2.460547E+02  1.036989E-02  4.910205E+02  1.221877E+01
2.460521E+02  1.164013E-02  4.910095E+02  1.292411E+01
2.460494E+02  1.288597E-02  4.909987E+02  1.358660E+01
2.460467E+02  1.416326E-02  4.909878E+02  1.421963E+01
2.460438E+02  1.540789E-02  4.909771E+02  1.481770E+01
2.460408E+02  1.667654E-02  4.909661E+02  1.539806E+01
2.460378E+02  1.792843E-02  4.909553E+02  1.594926E+01
2.460345E+02  1.918220E-02  4.909445E+02  1.648426E+01
2.460310E+02  2.045544E-02  4.909336E+02  1.700107E+01
2.460275E+02  2.171949E-02  4.909227E+02  1.750297E+01
2.460238E+02  2.298301E-02  4.909119E+02  1.798783E+01
2.460199E+02  2.424729E-02  4.909009E+02  1.846156E+01
2.460159E+02  2.553199E-02  4.908900E+02  1.892070E+01
2.460117E+02  2.678495E-02  4.908791E+02  1.936708E+01
2.460073E+02  2.807335E-02  4.908682E+02  1.980688E+01
2.460027E+02  2.934465E-02  4.908572E+02  2.023598E+01
2.459980E+02  3.062510E-02  4.908462E+02  2.065528E+01
2.459930E+02  3.190553E-02  4.908352E+02  2.106423E+01
2.459879E+02  3.318732E-02  4.908243E+02  2.146767E+01
2.459826E+02  3.448656E-02  4.908132E+02  2.186473E+01
2.459771E+02  3.577603E-02  4.908021E+02  2.225343E+01
2.459713E+02  3.704626E-02  4.907911E+02  2.263281E+01
2.459655E+02  3.835268E-02  4.907799E+02  2.300807E+01
2.459593E+02  3.965518E-02  4.907689E+02  2.337568E+01
2.459530E+02  4.095456E-02  4.907577E+02  2.373844E+01
2.459465E+02  4.227424E-02  4.907465E+02  2.409589E+01
2.459397E+02  4.356788E-02  4.907353E+02  2.444573E+01
2.459328E+02  4.485043E-02  4.907242E+02  2.479130E+01
2.459256E+02  4.617595E-02  4.907129E+02  2.513480E+01
2.459182E+02  4.750727E-02  4.907016E+02  2.547089E+01
2.459106E+02  4.880516E-02  4.906904E+02  2.580240E+01
2.459028E+02  5.013321E-02  4.906789E+02  2.613118E+01
2.458949E+02  5.145136E-02  4.906677E+02  2.645222E+01
2.458866E+02  5.278398E-02  4.906563E+02  2.677338E+01
2.458781E+02  5.410787E-02  4.906449E+02  2.708847E+01
2.458693E+02  5.544277E-02  4.906334E+02  2.740174E+01
2.458605E+02  5.676437E-02  4.906220E+02  2.770951E+01
2.458513E+02  5.810200E-02  4.906105E+02  2.801521E+01
2.458419E+02  5.947379E-02  4.905987E+02  2.831894E+01
2.458324E+02  6.079531E-02  4.905873E+02  2.861331E+01
2.458224E+02  6.215095E-02  4.905757E+02  2.891073E+01
2.458124E+02  6.351089E-02  4.905640E+02  2.920405E+01
2.458021E+02  6.486947E-02  4.905523E+02  2.949290E+01
