# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.097167E+02  1.495443E+02  -1.955135E+02  0.000000E+00
2.097167E+02  1.495443E+02  -1.955135E+02  1.000000E+00
2.097037E+02  1.495278E+02  -1.954956E+02  1.100000E+01
2.096865E+02  1.494963E+02  -1.954479E+02  1.600000E+01
2.096490E+02  1.494216E+02  -1.953290E+02  2.100000E+01
2.095904E+02  1.493086E+02  -1.951509E+02  2.514918E+01
2.094928E+02  1.491292E+02  -1.948729E+02  2.929836E+01
2.094070E+02  1.489781E+02  -1.946435E+02  3.180758E+01
2.092965E+02  1.487899E+02  -1.943630E+02  3.431681E+01
2.091531E+02  1.485531E+02  -1.940154E+02  3.687619E+01
2.089736E+02  1.482649E+02  -1.935995E+02  3.943556E+01
2.088145E+02  1.480159E+02  -1.932450E+02  4.132773E+01
2.086314E+02  1.477334E+02  -1.928465E+02  4.321989E+01
2.084092E+02  1.473964E+02  -1.923758E+02  4.521902E+01
2.081545E+02  1.470158E+02  -1.918489E+02  4.721816E+01
2.079100E+02  1.466549E+02  -1.913527E+02  4.892313E+01
2.076398E+02  1.462593E+02  -1.908112E+02  5.062810E+01
2.073447E+02  1.458327E+02  -1.902311E+02  5.230838E+01
2.070208E+02  1.453676E+02  -1.896006E+02  5.398867E+01
2.067212E+02  1.449403E+02  -1.890230E+02  5.542053E+01
2.063980E+02  1.444822E+02  -1.884054E+02  5.685239E+01
2.060694E+02  1.440189E+02  -1.877817E+02  5.820961E+01
2.057183E+02  1.435264E+02  -1.871197E+02  5.956683E+01
2.052453E+02  1.428653E+02  -1.862315E+02  6.126577E+01
2.047331E+02  1.421532E+02  -1.852752E+02  6.296471E+01
2.043535E+02  1.416271E+02  -1.845682E+02  6.414462E+01
2.039537E+02  1.410735E+02  -1.838228E+02  6.532454E+01
2.033936E+02  1.403173E+02  -1.828178E+02  6.689584E+01
2.027914E+02  1.394983E+02  -1.817199E+02  6.846714E+01
2.023881E+02  1.389495E+02  -1.809822E+02  6.946253E+01
2.019682E+02  1.383777E+02  -1.802105E+02  7.045792E+01
2.014317E+02  1.376481E+02  -1.792235E+02  7.167009E+01
2.008682E+02  1.368818E+02  -1.781834E+02  7.288225E+01
