# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
9.441182E+01  4.928758E+01  -2.922423E+02  3.437888E+01
9.440307E+01  4.928244E+01  -2.922332E+02  3.437906E+01
9.439323E+01  4.927666E+01  -2.922230E+02  3.437925E+01
9.438499E+01  4.927182E+01  -2.922144E+02  3.437943E+01
9.437564E+01  4.926633E+01  -2.922047E+02  3.437963E+01
9.436672E+01  4.926109E+01  -2.921955E+02  3.437982E+01
9.435764E+01  4.925576E+01  -2.921861E+02  3.438000E+01
9.434810E+01  4.925016E+01  -2.921762E+02  3.438020E+01
9.434005E+01  4.924543E+01  -2.921679E+02  3.438038E+01
9.433147E+01  4.924040E+01  -2.921589E+02  3.438056E+01
9.432156E+01  4.923458E+01  -2.921487E+02  3.438077E+01
9.431460E+01  4.923049E+01  -2.921415E+02  3.438093E+01
9.430669E+01  4.922585E+01  -2.921333E+02  3.438109E+01
9.429866E+01  4.922114E+01  -2.921249E+02  3.438126E+01
9.429144E+01  4.921690E+01  -2.921175E+02  3.438142E+01
9.428322E+01  4.921206E+01  -2.921089E+02  3.438160E+01
9.427775E+01  4.920886E+01  -2.921033E+02  3.438172E+01
9.427199E+01  4.920548E+01  -2.920973E+02  3.438184E+01
9.426403E+01  4.920081E+01  -2.920891E+02  3.438202E+01
9.425553E+01  4.919581E+01  -2.920802E+02  3.438220E+01
9.424771E+01  4.919123E+01  -2.920721E+02  3.438237E+01
9.423894E+01  4.918608E+01  -2.920631E+02  3.438256E+01
9.423083E+01  4.918133E+01  -2.920547E+02  3.438275E+01
9.422261E+01  4.917650E+01  -2.920461E+02  3.438293E+01
9.421361E+01  4.917121E+01  -2.920368E+02  3.438312E+01
9.420578E+01  4.916662E+01  -2.920287E+02  3.438331E+01
9.420110E+01  4.916387E+01  -2.920239E+02  3.438341E+01
9.419587E+01  4.916080E+01  -2.920184E+02  3.438352E+01
9.418905E+01  4.915680E+01  -2.920114E+02  3.438369E+01
9.418080E+01  4.915196E+01  -2.920028E+02  3.438387E+01
9.417266E+01  4.914718E+01  -2.919944E+02  3.438406E+01
9.416365E+01  4.914190E+01  -2.919851E+02  3.438426E+01
9.415431E+01  4.913641E+01  -2.919754E+02  3.438448E+01
9.414549E+01  4.913124E+01  -2.919663E+02  3.438466E+01
9.413684E+01  4.912617E+01  -2.919574E+02  3.438486E+01
9.412985E+01  4.912207E+01  -2.919501E+02  3.438504E+01
9.412411E+01  4.911870E+01  -2.919442E+02  3.438516E+01
9.411858E+01  4.911546E+01  -2.919384E+02  3.438528E+01
9.411046E+01  4.911070E+01  -2.919301E+02  3.438548E+01
9.410194E+01  4.910569E+01  -2.919212E+02  3.438568E+01
9.409430E+01  4.910121E+01  -2.919133E+02  3.438586E+01
9.408569E+01  4.909616E+01  -2.919044E+02  3.438605E+01
9.407675E+01  4.909092E+01  -2.918952E+02  3.438627E+01
9.406729E+01  4.908536E+01  -2.918854E+02  3.438648E+01
9.405925E+01  4.908065E+01  -2.918770E+02  3.438667E+01
9.405124E+01  4.907596E+01  -2.918688E+02  3.438686E+01
9.404173E+01  4.907038E+01  -2.918589E+02  3.438708E+01
9.403373E+01  4.906569E+01  -2.918507E+02  3.438728E+01
9.402604E+01  4.906118E+01  -2.918428E+02  3.438746E+01
9.401702E+01  4.905589E+01  -2.918334E+02  3.438766E+01
9.400799E+01  4.905059E+01  -2.918240E+02  3.438789E+01
9.400109E+01  4.904655E+01  -2.918170E+02  3.438807E+01
9.399592E+01  4.904351E+01  -2.918116E+02  3.438818E+01
9.399067E+01  4.904044E+01  -2.918061E+02  3.438830E+01
9.398098E+01  4.903475E+01  -2.917961E+02  3.438853E+01
9.397658E+01  4.903218E+01  -2.917916E+02  3.438865E+01
9.397134E+01  4.902910E+01  -2.917862E+02  3.438876E+01
9.396439E+01  4.902503E+01  -2.917790E+02  3.438895E+01
9.395550E+01  4.901982E+01  -2.917699E+02  3.438916E+01
9.394746E+01  4.901510E+01  -2.917615E+02  3.438936E+01
9.394035E+01  4.901093E+01  -2.917541E+02  3.438954E+01
9.393166E+01  4.900583E+01  -2.917451E+02  3.438974E+01
9.392244E+01  4.900043E+01  -2.917357E+02  3.438997E+01
9.391252E+01  4.899462E+01  -2.917254E+02  3.439021E+01
9.390748E+01  4.899167E+01  -2.917203E+02  3.439034E+01
9.390152E+01  4.898817E+01  -2.917141E+02  3.439048E+01
9.389445E+01  4.898402E+01  -2.917068E+02  3.439067E+01
9.388508E+01  4.897853E+01  -2.916971E+02  3.439090E+01
9.387712E+01  4.897386E+01  -2.916889E+02  3.439110E+01
9.386693E+01  4.896789E+01  -2.916783E+02  3.439134E+01
9.385849E+01  4.896295E+01  -2.916697E+02  3.439156E+01
9.385032E+01  4.895816E+01  -2.916612E+02  3.439176E+01
9.384166E+01  4.895308E+01  -2.916522E+02  3.439198E+01
9.383299E+01  4.894800E+01  -2.916433E+02  3.439220E+01
9.382357E+01  4.894248E+01  -2.916336E+02  3.439244E+01
9.381462E+01  4.893724E+01  -2.916244E+02  3.439267E+01
9.380358E+01  4.893077E+01  -2.916130E+02  3.439294E+01
9.379343E+01  4.892483E+01  -2.916025E+02  3.439321E+01
9.378480E+01  4.891977E+01  -2.915936E+02  3.439342E+01
9.377649E+01  4.891489E+01  -2.915850E+02  3.439364E+01
9.376884E+01  4.891041E+01  -2.915771E+02  3.439385E+01
9.376026E+01  4.890539E+01  -2.915683E+02  3.439406E+01
9.375197E+01  4.890054E+01  -2.915598E+02  3.439427E+01
9.374317E+01  4.889538E+01  -2.915507E+02  3.439450E+01
9.373800E+01  4.889235E+01  -2.915454E+02  3.439463E+01
9.373252E+01  4.888913E+01  -2.915396E+02  3.439476E+01
9.372383E+01  4.888405E+01  -2.915307E+02  3.439500E+01
9.371530E+01  4.887905E+01  -2.915219E+02  3.439522E+01
9.370746E+01  4.887446E+01  -2.915139E+02  3.439543E+01
9.369869E+01  4.886932E+01  -2.915048E+02  3.439565E+01
9.369009E+01  4.886428E+01  -2.914960E+02  3.439588E+01
9.368308E+01  4.886018E+01  -2.914888E+02  3.439607E+01
9.367748E+01  4.885690E+01  -2.914830E+02  3.439621E+01
9.367267E+01  4.885408E+01  -2.914780E+02  3.439635E+01
9.366184E+01  4.884774E+01  -2.914669E+02  3.439663E+01
9.365289E+01  4.884250E+01  -2.914576E+02  3.439686E+01
9.364421E+01  4.883741E+01  -2.914487E+02  3.439710E+01
9.363529E+01  4.883219E+01  -2.914395E+02  3.439734E+01
9.362645E+01  4.882701E+01  -2.914304E+02  3.439757E+01
9.361730E+01  4.882166E+01  -2.914210E+02  3.439781E+01
9.361284E+01  4.881904E+01  -2.914164E+02  3.439793E+01
9.360881E+01  4.881668E+01  -2.914122E+02  3.439805E+01
9.360328E+01  4.881344E+01  -2.914065E+02  3.439818E+01
9.359920E+01  4.881105E+01  -2.914023E+02  3.439831E+01
9.358853E+01  4.880481E+01  -2.913914E+02  3.439858E+01
9.357932E+01  4.879942E+01  -2.913818E+02  3.439883E+01
9.357022E+01  4.879409E+01  -2.913725E+02  3.439908E+01
9.356208E+01  4.878933E+01  -2.913641E+02  3.439930E+01
9.355332E+01  4.878420E+01  -2.913551E+02  3.439954E+01
9.354445E+01  4.877900E+01  -2.913460E+02  3.439978E+01
9.353465E+01  4.877326E+01  -2.913359E+02  3.440005E+01
9.352552E+01  4.876792E+01  -2.913265E+02  3.440030E+01
9.352007E+01  4.876473E+01  -2.913209E+02  3.440045E+01
9.351378E+01  4.876105E+01  -2.913144E+02  3.440061E+01
9.350691E+01  4.875703E+01  -2.913073E+02  3.440082E+01
9.349874E+01  4.875224E+01  -2.912989E+02  3.440104E+01
9.348975E+01  4.874698E+01  -2.912896E+02  3.440127E+01
9.348020E+01  4.874140E+01  -2.912799E+02  3.440154E+01
9.347242E+01  4.873684E+01  -2.912718E+02  3.440177E+01
9.346279E+01  4.873121E+01  -2.912619E+02  3.440202E+01
9.345553E+01  4.872696E+01  -2.912545E+02  3.440223E+01
9.344575E+01  4.872123E+01  -2.912444E+02  3.440249E+01
9.343815E+01  4.871678E+01  -2.912365E+02  3.440272E+01
9.343312E+01  4.871384E+01  -2.912314E+02  3.440285E+01
9.342804E+01  4.871087E+01  -2.912262E+02  3.440299E+01
9.341970E+01  4.870599E+01  -2.912176E+02  3.440322E+01
9.341093E+01  4.870085E+01  -2.912086E+02  3.440347E+01
9.340294E+01  4.869618E+01  -2.912003E+02  3.440369E+01
9.339400E+01  4.869095E+01  -2.911912E+02  3.440394E+01
9.338636E+01  4.868648E+01  -2.911834E+02  3.440417E+01
9.338156E+01  4.868367E+01  -2.911784E+02  3.440430E+01
9.337631E+01  4.868060E+01  -2.911730E+02  3.440444E+01
9.336717E+01  4.867526E+01  -2.911637E+02  3.440471E+01
9.335963E+01  4.867084E+01  -2.911559E+02  3.440493E+01
9.335174E+01  4.866623E+01  -2.911478E+02  3.440514E+01
9.334443E+01  4.866195E+01  -2.911403E+02  3.440535E+01
9.333357E+01  4.865560E+01  -2.911291E+02  3.440566E+01
9.332820E+01  4.865246E+01  -2.911236E+02  3.440581E+01
9.332252E+01  4.864914E+01  -2.911179E+02  3.440596E+01
9.331504E+01  4.864476E+01  -2.911101E+02  3.440619E+01
9.330591E+01  4.863942E+01  -2.911007E+02  3.440644E+01
9.329676E+01  4.863407E+01  -2.910913E+02  3.440672E+01
9.328832E+01  4.862912E+01  -2.910826E+02  3.440696E+01
9.328295E+01  4.862599E+01  -2.910771E+02  3.440711E+01
9.327783E+01  4.862299E+01  -2.910718E+02  3.440726E+01
9.326817E+01  4.861734E+01  -2.910620E+02  3.440754E+01
9.325853E+01  4.861171E+01  -2.910521E+02  3.440781E+01
9.324783E+01  4.860545E+01  -2.910411E+02  3.440812E+01
9.324254E+01  4.860235E+01  -2.910356E+02  3.440828E+01
9.323655E+01  4.859885E+01  -2.910295E+02  3.440845E+01
9.322600E+01  4.859268E+01  -2.910186E+02  3.440876E+01
9.321749E+01  4.858771E+01  -2.910099E+02  3.440901E+01
9.320811E+01  4.858222E+01  -2.910003E+02  3.440928E+01
9.319843E+01  4.857656E+01  -2.909904E+02  3.440957E+01
9.318873E+01  4.857089E+01  -2.909804E+02  3.440985E+01
9.317960E+01  4.856556E+01  -2.909711E+02  3.441013E+01
9.317035E+01  4.856015E+01  -2.909616E+02  3.441039E+01
9.316009E+01  4.855415E+01  -2.909510E+02  3.441068E+01
9.315088E+01  4.854876E+01  -2.909416E+02  3.441096E+01
9.314158E+01  4.854332E+01  -2.909321E+02  3.441125E+01
9.313233E+01  4.853793E+01  -2.909226E+02  3.441153E+01
9.312352E+01  4.853277E+01  -2.909135E+02  3.441178E+01
9.311416E+01  4.852730E+01  -2.909039E+02  3.441205E+01
9.310523E+01  4.852208E+01  -2.908948E+02  3.441232E+01
9.309518E+01  4.851620E+01  -2.908845E+02  3.441261E+01
9.308690E+01  4.851136E+01  -2.908760E+02  3.441288E+01
9.307748E+01  4.850586E+01  -2.908663E+02  3.441315E+01
9.306925E+01  4.850105E+01  -2.908579E+02  3.441340E+01
9.306074E+01  4.849607E+01  -2.908492E+02  3.441365E+01
9.305261E+01  4.849132E+01  -2.908408E+02  3.441390E+01
9.304323E+01  4.848584E+01  -2.908313E+02  3.441418E+01
9.303387E+01  4.848037E+01  -2.908217E+02  3.441446E+01
9.302519E+01  4.847530E+01  -2.908128E+02  3.441474E+01
9.301514E+01  4.846943E+01  -2.908025E+02  3.441504E+01
9.300619E+01  4.846420E+01  -2.907933E+02  3.441531E+01
