#  index  lambda  kappa  tanbeta   mu/GeV  Alam/GeV  Akap/GeV  DeltaLambda2  M1  M2  mh125/GeV  mH/GeV  mhS/GeV  C_h125^SM  C_h125^NSM  C_h125^S  C_H^SM  C_H^NSM  C_H^S  C_hS^SM  C_hS^NSM  C_hS^S  
40  6.393842E-01  -6.393842E-02  3.000000E+00  2.380221E+02  8.410114E+02  8.423047E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250482E+02  8.059556E+02  9.277973E+01  9.999695E-01  8.384542E-05  -7.813834E-03  7.776596E-04  9.939107E-01  1.101854E-01  7.775492E-03  -1.101882E-01  9.938803E-01  
20  6.393842E-01  -6.393842E-02  3.000000E+00  -3.172820E+02  -1.121063E+03  -1.726341E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250021E+02  1.076920E+03  9.696285E+01  9.999855E-01  8.568716E-05  5.381142E-03  -3.554042E-04  -9.966392E-01  8.191538E-02  5.370076E-03  -8.191611E-02  -9.966248E-01  
21  6.393842E-01  -6.393842E-02  3.000000E+00  -2.578705E+02  -9.111424E+02  -5.216379E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249993E+02  8.741753E+02  1.019348E+02  9.999742E-01  2.095637E-04  7.180457E-03  -5.185946E-04  -9.948602E-01  1.012565E-01  -7.164771E-03  1.012576E-01  9.948344E-01  
78  6.393842E-01  -6.393842E-02  3.000000E+00  -1.007781E+02  -3.560826E+02  -1.370484E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249739E+02  3.489334E+02  6.771629E+01  -9.999664E-01  8.555386E-04  -8.148717E-03  2.947428E-03  9.655173E-01  -2.603222E-01  -7.645011E-03  2.603375E-01  9.654874E-01  
17  6.393842E-01  -6.393842E-02  3.000000E+00  -4.642341E+02  -1.640294E+03  -6.569597E+00  1.191925E-01  1.000000E+03  1.000000E+03  1.251214E+02  1.572702E+03  1.574802E+02  9.999976E-01  -3.100250E-04  -2.167718E-03  -1.878185E-04  -9.984223E-01  5.615022E-02  2.181706E-03  5.614968E-02  9.984200E-01  
98  6.393842E-01  -6.393842E-02  3.000000E+00  1.441760E+02  5.094219E+02  1.442718E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250030E+02  4.917617E+02  7.040165E+01  -9.999735E-01  5.357355E-04  7.254081E-03  -1.844824E-03  -9.833551E-01  -1.816849E-01  7.036003E-03  -1.816935E-01  9.833300E-01  
52  6.393842E-01  -6.393842E-02  3.000000E+00  2.220372E+02  7.845314E+02  6.443671E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250273E+02  7.516358E+02  9.189251E+01  9.999635E-01  1.076722E-04  -8.546759E-03  9.033963E-04  9.929887E-01  1.182063E-01  -8.499562E-03  1.182097E-01  -9.929523E-01  
28  6.393842E-01  -6.393842E-02  3.000000E+00  1.605719E+02  5.673540E+02  1.996758E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249951E+02  5.467685E+02  6.607298E+01  9.999767E-01  -5.007121E-04  -6.814665E-03  -1.601938E-03  -9.866959E-01  -1.625686E-01  6.642602E-03  -1.625757E-01  9.866737E-01  
45  6.393842E-01  -6.393842E-02  3.000000E+00  3.130219E+02  1.106011E+03  1.737831E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249672E+02  1.059620E+03  9.467707E+01  9.999741E-01  9.680972E-05  -7.192952E-03  5.039495E-04  9.965100E-01  8.347175E-02  -7.175930E-03  8.347321E-02  -9.964842E-01  
42  6.393842E-01  -6.393842E-02  3.000000E+00  1.746175E+02  6.169818E+02  1.173676E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249765E+02  5.933151E+02  7.735523E+01  9.999722E-01  -2.663206E-04  -7.447189E-03  -1.381298E-03  -9.886671E-01  -1.501180E-01  7.322811E-03  -1.501241E-01  9.886400E-01  
