# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
1.417065E+02  4.723624E+01  2.642862E-03  1.155047E+02
1.417062E+02  4.723616E+01  2.746348E-03  1.155048E+02
1.417056E+02  4.723577E+01  2.065694E-03  1.155051E+02
1.417041E+02  4.723482E+01  3.683051E-04  1.155057E+02
1.417025E+02  4.723423E+01  2.085160E-04  1.155064E+02
1.416994E+02  4.723281E+01  -1.158180E-03  1.155077E+02
1.416974E+02  4.723233E+01  -5.377360E-04  1.155085E+02
1.416954E+02  4.723205E+01  9.316697E-04  1.155093E+02
1.416915E+02  4.723061E+01  3.158940E-04  1.155109E+02
1.416911E+02  4.723043E+01  2.508681E-04  1.155111E+02
