# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.460732E+02  2.829525E-07  8.161539E+02  0.000000E+00
2.460731E+02  1.438731E-06  8.161540E+02  7.337203E-02
2.460724E+02  2.619423E-04  8.161503E+02  2.052849E+00
2.460715E+02  7.267721E-04  8.161435E+02  3.441803E+00
2.460704E+02  1.278216E-03  8.161357E+02  4.550039E+00
2.460692E+02  1.868317E-03  8.161272E+02  5.506790E+00
2.460677E+02  2.466422E-03  8.161186E+02  6.339697E+00
2.460662E+02  3.095488E-03  8.161097E+02  7.094475E+00
2.460646E+02  3.733139E-03  8.161006E+02  7.786305E+00
2.460631E+02  4.382229E-03  8.160914E+02  8.431764E+00
2.460614E+02  5.024254E-03  8.160822E+02  9.032535E+00
2.460597E+02  5.692922E-03  8.160727E+02  9.609111E+00
2.460594E+02  5.810879E-03  8.160709E+02  9.709111E+00
2.460592E+02  5.930820E-03  8.160693E+02  9.809111E+00
2.460572E+02  6.680326E-03  8.160586E+02  1.040221E+01
2.460553E+02  7.409383E-03  8.160482E+02  1.095593E+01
2.460532E+02  8.133113E-03  8.160378E+02  1.148117E+01
2.460512E+02  8.878227E-03  8.160272E+02  1.198737E+01
2.460491E+02  9.594997E-03  8.160170E+02  1.246338E+01
2.460470E+02  1.032760E-02  8.160066E+02  1.292693E+01
2.460448E+02  1.104931E-02  8.159962E+02  1.337192E+01
2.460426E+02  1.178102E-02  8.159858E+02  1.380164E+01
2.460404E+02  1.250356E-02  8.159755E+02  1.421519E+01
2.460381E+02  1.322103E-02  8.159652E+02  1.461664E+01
2.460358E+02  1.395060E-02  8.159548E+02  1.500852E+01
2.460333E+02  1.466354E-02  8.159446E+02  1.538779E+01
2.460309E+02  1.538432E-02  8.159343E+02  1.576030E+01
2.460284E+02  1.610517E-02  8.159240E+02  1.612398E+01
2.460257E+02  1.684129E-02  8.159136E+02  1.647900E+01
2.460231E+02  1.755772E-02  8.159033E+02  1.682309E+01
2.460204E+02  1.828473E-02  8.158930E+02  1.716263E+01
2.460177E+02  1.900134E-02  8.158827E+02  1.749421E+01
2.460149E+02  1.972713E-02  8.158724E+02  1.782081E+01
2.460119E+02  2.044409E-02  8.158621E+02  1.813952E+01
2.460089E+02  2.116534E-02  8.158517E+02  1.845460E+01
2.460059E+02  2.188828E-02  8.158415E+02  1.876155E+01
2.460028E+02  2.261978E-02  8.158310E+02  1.906629E+01
2.459996E+02  2.333353E-02  8.158208E+02  1.936245E+01
2.459962E+02  2.406069E-02  8.158104E+02  1.965756E+01
2.459929E+02  2.478156E-02  8.158002E+02  1.994633E+01
2.459895E+02  2.551588E-02  8.157897E+02  2.023243E+01
2.459860E+02  2.623116E-02  8.157795E+02  2.051164E+01
2.459824E+02  2.695169E-02  8.157692E+02  2.078886E+01
2.459787E+02  2.768336E-02  8.157587E+02  2.106446E+01
2.459749E+02  2.840479E-02  8.157485E+02  2.133380E+01
2.459710E+02  2.913506E-02  8.157380E+02  2.160108E+01
2.459671E+02  2.985272E-02  8.157277E+02  2.186317E+01
2.459632E+02  3.058334E-02  8.157174E+02  2.212290E+01
2.459590E+02  3.130404E-02  8.157070E+02  2.238044E+01
2.459548E+02  3.202653E-02  8.156967E+02  2.263390E+01
2.459505E+02  3.277105E-02  8.156861E+02  2.288626E+01
2.459463E+02  3.348324E-02  8.156759E+02  2.313205E+01
2.459418E+02  3.421792E-02  8.156654E+02  2.337870E+01
2.459372E+02  3.493642E-02  8.156552E+02  2.362005E+01
2.459325E+02  3.566262E-02  8.156448E+02  2.386259E+01
2.459278E+02  3.639947E-02  8.156342E+02  2.410134E+01
2.459231E+02  3.712448E-02  8.156239E+02  2.433447E+01
2.459182E+02  3.784251E-02  8.156136E+02  2.456741E+01
2.459132E+02  3.857955E-02  8.156031E+02  2.479903E+01
2.459080E+02  3.930358E-02  8.155928E+02  2.502798E+01
2.459028E+02  4.003681E-02  8.155823E+02  2.525554E+01
2.458976E+02  4.075714E-02  8.155720E+02  2.547998E+01
2.458922E+02  4.148612E-02  8.155615E+02  2.570378E+01
2.458867E+02  4.221726E-02  8.155510E+02  2.592363E+01
2.458812E+02  4.294628E-02  8.155407E+02  2.614192E+01
2.458755E+02  4.368251E-02  8.155302E+02  2.635967E+01
2.458697E+02  4.440417E-02  8.155198E+02  2.657501E+01
2.458639E+02  4.513254E-02  8.155093E+02  2.678784E+01
2.458580E+02  4.586337E-02  8.154990E+02  2.699842E+01
2.458519E+02  4.658798E-02  8.154886E+02  2.720893E+01
2.458458E+02  4.732530E-02  8.154780E+02  2.741882E+01
2.458395E+02  4.805024E-02  8.154676E+02  2.762477E+01
2.458331E+02  4.878801E-02  8.154571E+02  2.783119E+01
2.458267E+02  4.951721E-02  8.154466E+02  2.803447E+01
2.458202E+02  5.023919E-02  8.154362E+02  2.823591E+01
2.458135E+02  5.097592E-02  8.154258E+02  2.843641E+01
2.458068E+02  5.170267E-02  8.154153E+02  2.863549E+01
2.458000E+02  5.242968E-02  8.154049E+02  2.883337E+01
2.457929E+02  5.317559E-02  8.153942E+02  2.903257E+01
2.457859E+02  5.388999E-02  8.153839E+02  2.922581E+01
2.457787E+02  5.463123E-02  8.153733E+02  2.942155E+01
2.457715E+02  5.536683E-02  8.153628E+02  2.961374E+01
2.457642E+02  5.608587E-02  8.153525E+02  2.980441E+01
2.457566E+02  5.681999E-02  8.153419E+02  2.999592E+01
2.457491E+02  5.755816E-02  8.153313E+02  3.018506E+01
2.457414E+02  5.828568E-02  8.153209E+02  3.037137E+01
2.457337E+02  5.901204E-02  8.153105E+02  3.055790E+01
2.457257E+02  5.975561E-02  8.152998E+02  3.074480E+01
2.457178E+02  6.047998E-02  8.152894E+02  3.092835E+01
2.457097E+02  6.120573E-02  8.152789E+02  3.111170E+01
2.457016E+02  6.194213E-02  8.152683E+02  3.129400E+01
2.456933E+02  6.267069E-02  8.152578E+02  3.147504E+01
