# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.460732E+02  3.213448E-05  -5.577083E+02  0.000000E+00
2.460732E+02  3.537466E-05  -5.577081E+02  5.628693E-01
2.460724E+02  5.395569E-04  -5.577032E+02  2.061088E+00
2.460719E+02  1.271692E-03  -5.576960E+02  3.157258E+00
2.460712E+02  2.084966E-03  -5.576881E+02  4.041367E+00
2.460704E+02  2.969602E-03  -5.576794E+02  4.813862E+00
2.460696E+02  3.852319E-03  -5.576707E+02  5.490123E+00
2.460687E+02  4.836891E-03  -5.576610E+02  6.145320E+00
2.460686E+02  4.996457E-03  -5.576595E+02  6.245320E+00
2.460685E+02  5.157345E-03  -5.576579E+02  6.345320E+00
2.460674E+02  6.244898E-03  -5.576473E+02  6.972582E+00
2.460663E+02  7.348531E-03  -5.576364E+02  7.562915E+00
2.460651E+02  8.444444E-03  -5.576257E+02  8.107278E+00
2.460640E+02  9.568483E-03  -5.576147E+02  8.616159E+00
2.460629E+02  1.063264E-02  -5.576043E+02  9.084837E+00
2.460617E+02  1.173847E-02  -5.575934E+02  9.536038E+00
2.460604E+02  1.280629E-02  -5.575830E+02  9.957038E+00
2.460592E+02  1.387647E-02  -5.575724E+02  1.036458E+01
2.460579E+02  1.495955E-02  -5.575619E+02  1.075473E+01
2.460567E+02  1.603654E-02  -5.575514E+02  1.112856E+01
2.460554E+02  1.711237E-02  -5.575409E+02  1.149007E+01
2.460541E+02  1.817026E-02  -5.575305E+02  1.183959E+01
2.460527E+02  1.925401E-02  -5.575200E+02  1.218131E+01
2.460512E+02  2.033219E-02  -5.575095E+02  1.251159E+01
2.460498E+02  2.139319E-02  -5.574991E+02  1.283071E+01
2.460484E+02  2.246334E-02  -5.574886E+02  1.314342E+01
2.460469E+02  2.353538E-02  -5.574782E+02  1.344828E+01
2.460454E+02  2.458942E-02  -5.574679E+02  1.374468E+01
2.460438E+02  2.567471E-02  -5.574574E+02  1.403825E+01
2.460422E+02  2.674609E-02  -5.574469E+02  1.432375E+01
2.460406E+02  2.780918E-02  -5.574365E+02  1.460240E+01
2.460389E+02  2.889042E-02  -5.574260E+02  1.487740E+01
2.460372E+02  2.994697E-02  -5.574157E+02  1.514496E+01
2.460355E+02  3.103261E-02  -5.574052E+02  1.540894E+01
2.460337E+02  3.209605E-02  -5.573948E+02  1.566768E+01
2.460319E+02  3.316741E-02  -5.573844E+02  1.592278E+01
2.460301E+02  3.424252E-02  -5.573740E+02  1.617282E+01
2.460283E+02  3.530938E-02  -5.573636E+02  1.641934E+01
2.460264E+02  3.637311E-02  -5.573532E+02  1.666227E+01
2.460244E+02  3.744267E-02  -5.573428E+02  1.690248E+01
2.460224E+02  3.852950E-02  -5.573323E+02  1.714011E+01
2.460203E+02  3.958850E-02  -5.573219E+02  1.737168E+01
2.460183E+02  4.067907E-02  -5.573115E+02  1.760124E+01
2.460162E+02  4.173321E-02  -5.573012E+02  1.782642E+01
2.460140E+02  4.282348E-02  -5.572907E+02  1.805278E+01
2.460119E+02  4.390045E-02  -5.572802E+02  1.827359E+01
2.460096E+02  4.495766E-02  -5.572698E+02  1.849108E+01
2.460074E+02  4.604222E-02  -5.572594E+02  1.870679E+01
2.460051E+02  4.710390E-02  -5.572490E+02  1.891881E+01
2.460027E+02  4.818492E-02  -5.572386E+02  1.913035E+01
