#  index  lambda  kappa  tanbeta   mu/GeV  Alam/GeV  Akap/GeV  DeltaLambda2  M1  M2  mh125/GeV  mH/GeV  mhS/GeV  C_h125^SM  C_h125^NSM  C_h125^S  C_H^SM  C_H^NSM  C_H^S  C_hS^SM  C_hS^NSM  C_hS^S  failFlag
9  6.393842E-01  -6.393842E-02  3.000000E+00  1.063111E+02  3.756326E+02  8.657553E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249776E+02  3.663926E+02  7.127611E+01  -9.999549E-01  8.510148E-04  9.461054E-03  -3.172671E-03  -9.687060E-01  -2.481906E-01  8.953766E-03  -2.482094E-01  9.686650E-01  1
51  6.393842E-01  -6.393842E-02  3.000000E+00  -1.703077E+02  -6.017539E+02  6.337232E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249777E+02  5.810215E+02  9.538374E+01  9.999544E-01  3.350947E-04  9.543505E-03  -1.145697E-03  -9.879555E-01  1.547339E-01  -9.480409E-03  1.547378E-01  9.879101E-01  1
53  6.393842E-01  -6.393842E-02  3.000000E+00  1.222602E+02  4.319860E+02  -4.210805E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249578E+02  4.194413E+02  8.271657E+01  -9.999446E-01  1.717306E-04  1.052716E-02  -2.456988E-03  -9.760662E-01  -2.174596E-01  1.023786E-02  -2.174734E-01  9.760125E-01  1
47  6.393842E-01  -6.393842E-02  3.000000E+00  1.191791E+02  4.210995E+02  -2.006292E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250177E+02  4.091873E+02  8.058287E+01  -9.999516E-01  2.655151E-04  9.835677E-03  -2.450205E-03  -9.748644E-01  -2.227854E-01  9.529298E-03  -2.227987E-01  9.748179E-01  1
10  6.393842E-01  -6.393842E-02  3.000000E+00  1.573371E+02  5.559244E+02  -2.641796E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249977E+02  5.359328E+02  8.834805E+01  -9.999566E-01  7.212168E-05  9.311238E-03  -1.635766E-03  -9.857799E-01  -1.680334E-01  9.166713E-03  -1.680413E-01  9.857373E-01  1
41  6.393842E-01  -6.393842E-02  3.000000E+00  4.433674E+02  1.566565E+03  -1.049358E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249941E+02  1.500079E+03  1.673683E+02  9.999963E-01  -3.962772E-04  2.679232E-03  2.367071E-04  9.982403E-01  5.929819E-02  2.698016E-03  5.929734E-02  -9.982367E-01  1
12  6.393842E-01  -6.393842E-02  3.000000E+00  1.763251E+02  6.230154E+02  -5.189930E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249965E+02  5.996008E+02  9.478276E+01  9.999457E-01  2.484858E-04  -1.042132E-02  1.316741E-03  9.886975E-01  1.499184E-01  1.034078E-02  -1.499239E-01  9.886435E-01  1
96  6.393842E-01  -6.393842E-02  3.000000E+00  3.480358E+02  1.229726E+03  5.254019E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250365E+02  1.178435E+03  NAN  -9.999973E-01  2.187758E-04  2.302043E-03  -3.893116E-04  -9.972327E-01  -7.434274E-02  2.279408E-03  -7.434344E-02  9.972301E-01  0
43  6.393842E-01  -6.393842E-02  3.000000E+00  1.422051E+02  5.024580E+02  -1.932613E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249926E+02  4.855914E+02  8.467494E+01  -9.999520E-01  1.722775E-04  9.791736E-03  -1.991941E-03  -9.825223E-01  -1.861345E-01  9.588531E-03  -1.861450E-01  9.824755E-01  1
29  6.393842E-01  -6.393842E-02  3.000000E+00  -4.810916E+02  -1.699857E+03  1.428496E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249877E+02  1.633071E+03  1.827667E+02  9.999995E-01  -2.113252E-04  -1.025431E-03  -1.552476E-04  -9.985202E-01  5.438199E-02  1.035406E-03  5.438180E-02  9.985197E-01  1
11  6.393842E-01  -6.393842E-02  3.000000E+00  1.004524E+02  3.549318E+02  8.278709E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249656E+02  3.472778E+02  7.071408E+01  -9.999538E-01  9.207080E-04  9.566772E-03  -3.405161E-03  -9.647707E-01  -2.630701E-01  8.987531E-03  -2.630906E-01  9.647293E-01  1
59  6.393842E-01  -6.393842E-02  3.000000E+00  1.779451E+02  6.287394E+02  3.628303E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249960E+02  6.042659E+02  8.615827E+01  9.999627E-01  -2.363294E-05  -8.636391E-03  1.300793E-03  9.890006E-01  1.479057E-01  -8.537900E-03  1.479115E-01  -9.889638E-01  1
36  6.393842E-01  -6.393842E-02  3.000000E+00  1.427612E+02  5.044229E+02  7.597203E+00  1.191925E-01  1.000000E+03  1.000000E+03  1.249843E+02  4.872563E+02  8.293181E+01  9.999460E-01  -1.875915E-05  -1.039692E-02  1.942836E-03  9.827209E-01  1.850832E-01  -1.021380E-02  1.850934E-01  -9.826678E-01  1
35  6.393842E-01  -6.393842E-02  3.000000E+00  -1.155569E+02  -4.083010E+02  -7.524521E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.249537E+02  3.976008E+02  7.387610E+01  -9.999641E-01  3.831585E-04  -8.463767E-03  -2.300460E-03  -9.737262E-01  2.277102E-01  -8.154143E-03  2.277215E-01  9.736922E-01  1
