# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
1.471897E+02  4.908999E+01  -9.513522E-02  1.132930E+02
1.471870E+02  4.908645E+01  -8.596576E-02  1.132947E+02
1.471858E+02  4.908591E+01  -8.545419E-02  1.132951E+02
1.471851E+02  4.908535E+01  -8.426233E-02  1.132956E+02
1.469174E+02  4.896635E+01  2.146449E-02  1.134187E+02
1.468396E+02  4.894006E+01  2.343489E-02  1.134533E+02
1.467621E+02  4.891335E+01  2.646859E-02  1.134880E+02
1.464443E+02  4.882262E+01  -2.830326E-02  1.136266E+02
1.460889E+02  4.870593E+01  -3.488907E-02  1.137828E+02
1.459768E+02  4.866070E+01  -6.161747E-03  1.138328E+02
1.458634E+02  4.862078E+01  1.279215E-03  1.138828E+02
1.456361E+02  4.854078E+01  1.669990E-02  1.139828E+02
1.437128E+02  4.790412E+01  4.928476E-04  1.148083E+02
1.417340E+02  4.724467E+01  -1.784589E-04  1.156338E+02
1.395807E+02  4.655064E+01  -8.834712E-02  1.165020E+02
1.376111E+02  4.589206E+01  -8.209942E-02  1.172750E+02
1.368706E+02  4.562361E+01  -2.771527E-04  1.175624E+02
1.361156E+02  4.537203E+01  -7.558898E-04  1.178497E+02
1.344288E+02  4.480960E+01  -2.043193E-04  1.184800E+02
1.325555E+02  4.417778E+01  2.843437E-02  1.191631E+02
1.297527E+02  4.325256E+01  -6.575003E-03  1.201490E+02
1.271003E+02  4.235527E+01  4.653837E-02  1.210485E+02
1.251734E+02  4.172440E+01  -1.255928E-05  1.216786E+02
1.231954E+02  4.106516E+01  -1.836914E-04  1.223088E+02
1.196604E+02  3.988680E+01  3.079104E-05  1.233914E+02
1.180458E+02  3.934857E+01  1.336312E-04  1.238683E+02
1.163915E+02  3.879842E+01  -5.344532E-03  1.243451E+02
1.127877E+02  3.759735E+01  -6.693024E-03  1.253462E+02
1.110537E+02  3.702081E+01  -1.391301E-02  1.258094E+02
1.092762E+02  3.642434E+01  5.180145E-03  1.262726E+02
1.064109E+02  3.547205E+01  -7.960030E-03  1.269941E+02
1.037318E+02  3.457726E+01  -2.159999E-06  1.276421E+02
1.012697E+02  3.375591E+01  3.005599E-03  1.282151E+02
9.871327E+01  3.290503E+01  -3.422800E-03  1.287881E+02
9.636773E+01  3.212435E+01  -9.501247E-03  1.292946E+02
9.470595E+01  3.156868E+01  1.728470E-04  1.296426E+02
9.300045E+01  3.099902E+01  5.904378E-03  1.299906E+02
9.083939E+01  3.028100E+01  -6.631414E-03  1.304182E+02
8.860212E+01  2.953532E+01  -7.017613E-03  1.308457E+02
8.556919E+01  2.852308E+01  2.100658E-05  1.314011E+02
8.399415E+01  2.799881E+01  -4.654100E-03  1.316788E+02
8.237626E+01  2.745845E+01  1.765641E-03  1.319565E+02
8.000294E+01  2.666741E+01  2.063362E-03  1.323502E+02
7.877793E+01  2.625804E+01  7.492152E-03  1.325470E+02
7.752718E+01  2.584121E+01  8.061941E-03  1.327438E+02
7.559338E+01  2.519723E+01  4.179082E-03  1.330393E+02
7.358955E+01  2.452925E+01  4.107995E-03  1.333349E+02
7.222109E+01  2.407324E+01  3.370185E-03  1.335304E+02
7.081577E+01  2.360464E+01  5.107665E-03  1.337259E+02
6.896562E+01  2.298844E+01  1.309894E-04  1.339755E+02
6.704478E+01  2.234869E+01  -3.293366E-03  1.342252E+02
6.494460E+01  2.164790E+01  2.619509E-03  1.344871E+02
6.274690E+01  2.091608E+01  -3.313156E-03  1.347491E+02
6.160403E+01  2.053459E+01  8.178168E-04  1.348807E+02
6.042956E+01  2.014348E+01  -2.880925E-03  1.350122E+02
5.914876E+01  1.971636E+01  -1.386950E-03  1.351520E+02
5.782767E+01  1.927543E+01  4.294875E-03  1.352918E+02
5.615529E+01  1.871767E+01  6.213275E-03  1.354628E+02
5.529324E+01  1.843070E+01  4.010245E-03  1.355482E+02
5.441155E+01  1.813718E+01  1.163553E-04  1.356337E+02
5.277195E+01  1.759057E+01  8.468749E-04  1.357877E+02
5.214707E+01  1.738247E+01  -1.495852E-03  1.358448E+02
5.151162E+01  1.717074E+01  -1.964528E-03  1.359018E+02
5.025049E+01  1.675084E+01  -7.241207E-03  1.360120E+02
4.960461E+01  1.653488E+01  2.458577E-04  1.360671E+02
4.894562E+01  1.631519E+01  1.562930E-04  1.361223E+02
4.719118E+01  1.573009E+01  3.155317E-03  1.362642E+02
4.595629E+01  1.531890E+01  -1.907883E-03  1.363597E+02
4.532178E+01  1.510715E+01  1.452254E-03  1.364074E+02
4.467474E+01  1.489155E+01  6.747266E-04  1.364551E+02
4.210909E+01  1.403633E+01  1.962859E-04  1.366346E+02
4.084630E+01  1.361538E+01  9.369324E-04  1.367174E+02
4.019440E+01  1.339806E+01  1.088572E-03  1.367588E+02
3.952582E+01  1.317487E+01  5.211191E-03  1.368002E+02
3.868340E+01  1.289440E+01  3.068916E-04  1.368511E+02
3.831921E+01  1.277307E+01  3.072878E-04  1.368725E+02
3.795102E+01  1.265038E+01  -3.015631E-04  1.368939E+02
3.747945E+01  1.249325E+01  -1.184182E-03  1.369209E+02
3.695802E+01  1.231924E+01  1.758511E-03  1.369502E+02
3.645769E+01  1.215234E+01  2.895197E-03  1.369778E+02
3.594601E+01  1.198200E+01  -3.517393E-06  1.370055E+02
3.547365E+01  1.182464E+01  -1.087686E-03  1.370304E+02
3.499100E+01  1.166368E+01  -4.729156E-04  1.370554E+02
3.444946E+01  1.148324E+01  -1.699022E-03  1.370827E+02
3.388444E+01  1.129501E+01  -3.124927E-03  1.371104E+02
3.330246E+01  1.110107E+01  -3.302299E-03  1.371381E+02
3.272645E+01  1.090882E+01  -2.848058E-05  1.371648E+02
3.201119E+01  1.067041E+01  -3.659748E-04  1.371968E+02
3.154226E+01  1.051416E+01  -7.742302E-04  1.372172E+02
3.105842E+01  1.035287E+01  -1.194248E-03  1.372376E+02
3.051287E+01  1.017104E+01  -9.851696E-04  1.372598E+02
2.974765E+01  9.915927E+00  -1.572109E-03  1.372899E+02
2.894873E+01  9.649587E+00  -4.465061E-04  1.373200E+02
2.875066E+01  9.583555E+00  -7.359959E-05  1.373274E+02
2.855096E+01  9.516976E+00  -2.293255E-04  1.373347E+02
2.763829E+01  9.212831E+00  -1.152828E-03  1.373671E+02
2.711758E+01  9.039384E+00  -3.653652E-03  1.373850E+02
2.658219E+01  8.860746E+00  1.538809E-04  1.374028E+02
2.484179E+01  8.280482E+00  2.157994E-03  1.374583E+02
2.438811E+01  8.129269E+00  2.224807E-03  1.374722E+02
2.415831E+01  8.052668E+00  1.780836E-03  1.374791E+02
2.392656E+01  7.975465E+00  1.083785E-03  1.374861E+02
2.353789E+01  7.845950E+00  6.255555E-05  1.374976E+02
2.320221E+01  7.734103E+00  -6.779772E-04  1.375073E+02
2.303221E+01  7.677432E+00  -4.525642E-04  1.375122E+02
2.286152E+01  7.620520E+00  -4.897409E-04  1.375171E+02
2.244587E+01  7.481950E+00  -1.086697E-04  1.375289E+02
2.204228E+01  7.347405E+00  1.104054E-04  1.375399E+02
2.141795E+01  7.139305E+00  1.773901E-04  1.375558E+02
2.128458E+01  7.094855E+00  1.938317E-04  1.375590E+02
2.114767E+01  7.049187E+00  4.395431E-04  1.375622E+02
2.085892E+01  6.952935E+00  5.098417E-04  1.375687E+02
2.061353E+01  6.871172E+00  -1.813940E-04  1.375741E+02
2.035784E+01  6.785956E+00  3.028413E-04  1.375794E+02
2.012251E+01  6.707519E+00  -3.211539E-04  1.375842E+02
1.988177E+01  6.627269E+00  -4.321704E-04  1.375888E+02
