# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
1.212631E-02  1.161653E-04  -1.050082E+03  1.553494E+02
1.218735E-02  1.191026E-04  -1.050061E+03  1.553706E+02
8.977482E-03  8.869767E-05  -1.050038E+03  1.553927E+02
6.557218E-03  6.539911E-05  -1.050028E+03  1.554031E+02
2.909000E-03  3.136418E-05  -1.050017E+03  1.554134E+02
2.594929E-03  3.026391E-05  -1.050014E+03  1.554166E+02
4.277304E-04  6.992384E-06  -1.050011E+03  1.554197E+02
1.972198E-03  2.274084E-05  -1.049998E+03  1.554322E+02
3.656995E-03  3.831001E-05  -1.049985E+03  1.554447E+02
7.099325E-03  7.027296E-05  -1.049973E+03  1.554572E+02
7.863344E-03  7.622637E-05  -1.049968E+03  1.554622E+02
7.768435E-03  7.011927E-05  -1.049965E+03  1.554646E+02
