# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.469666E+02  1.754752E+02  -4.468993E+02  0.000000E+00
2.469664E+02  1.754749E+02  -4.468985E+02  1.000000E+00
2.469654E+02  1.754734E+02  -4.468946E+02  2.389866E+00
2.469631E+02  1.754704E+02  -4.468875E+02  3.779733E+00
2.469609E+02  1.754676E+02  -4.468814E+02  4.662301E+00
2.469580E+02  1.754641E+02  -4.468740E+02  5.544869E+00
2.469559E+02  1.754616E+02  -4.468688E+02  6.089170E+00
2.469535E+02  1.754587E+02  -4.468630E+02  6.633471E+00
2.469492E+02  1.754536E+02  -4.468528E+02  7.500658E+00
2.469447E+02  1.754483E+02  -4.468424E+02  8.283562E+00
2.469402E+02  1.754431E+02  -4.468323E+02  8.976463E+00
2.469357E+02  1.754379E+02  -4.468223E+02  9.615371E+00
2.469311E+02  1.754326E+02  -4.468121E+02  1.021389E+01
2.469266E+02  1.754274E+02  -4.468022E+02  1.076607E+01
2.469219E+02  1.754221E+02  -4.467919E+02  1.129249E+01
2.469173E+02  1.754169E+02  -4.467821E+02  1.178352E+01
2.469125E+02  1.754115E+02  -4.467719E+02  1.226574E+01
2.469078E+02  1.754061E+02  -4.467618E+02  1.272320E+01
2.469030E+02  1.754006E+02  -4.467514E+02  1.316714E+01
2.468982E+02  1.753953E+02  -4.467413E+02  1.358759E+01
2.468933E+02  1.753897E+02  -4.467309E+02  1.400126E+01
2.468884E+02  1.753842E+02  -4.467206E+02  1.439914E+01
2.468834E+02  1.753785E+02  -4.467101E+02  1.478663E+01
2.468784E+02  1.753730E+02  -4.466997E+02  1.515995E+01
2.468733E+02  1.753672E+02  -4.466891E+02  1.552821E+01
2.468682E+02  1.753615E+02  -4.466785E+02  1.588406E+01
2.468630E+02  1.753558E+02  -4.466678E+02  1.623297E+01
2.468578E+02  1.753500E+02  -4.466570E+02  1.657496E+01
2.468525E+02  1.753440E+02  -4.466461E+02  1.690877E+01
2.468469E+02  1.753378E+02  -4.466345E+02  1.723306E+01
2.468417E+02  1.753320E+02  -4.466237E+02  1.752407E+01
2.468359E+02  1.753255E+02  -4.466118E+02  1.783725E+01
2.468301E+02  1.753190E+02  -4.465998E+02  1.814666E+01
2.468241E+02  1.753124E+02  -4.465876E+02  1.845099E+01
2.468182E+02  1.753059E+02  -4.465754E+02  1.874672E+01
2.468122E+02  1.752992E+02  -4.465632E+02  1.903940E+01
2.468061E+02  1.752924E+02  -4.465508E+02  1.932905E+01
2.468000E+02  1.752856E+02  -4.465383E+02  1.961280E+01
2.467939E+02  1.752789E+02  -4.465259E+02  1.989041E+01
2.467876E+02  1.752719E+02  -4.465132E+02  2.016607E+01
2.467813E+02  1.752650E+02  -4.465006E+02  2.043585E+01
2.467749E+02  1.752580E+02  -4.464877E+02  2.070402E+01
2.467685E+02  1.752509E+02  -4.464748E+02  2.096830E+01
2.467620E+02  1.752437E+02  -4.464618E+02  2.122902E+01
2.467555E+02  1.752366E+02  -4.464488E+02  2.148521E+01
2.467489E+02  1.752293E+02  -4.464356E+02  2.173974E+01
2.467422E+02  1.752220E+02  -4.464224E+02  2.199094E+01
2.467355E+02  1.752146E+02  -4.464089E+02  2.223954E+01
2.467287E+02  1.752072E+02  -4.463956E+02  2.248387E+01
2.467218E+02  1.751996E+02  -4.463819E+02  2.272808E+01
2.467149E+02  1.751921E+02  -4.463684E+02  2.296643E+01
2.467079E+02  1.751844E+02  -4.463546E+02  2.320466E+01
2.467009E+02  1.751768E+02  -4.463409E+02  2.343793E+01
2.466938E+02  1.751689E+02  -4.463269E+02  2.367110E+01
2.466866E+02  1.751611E+02  -4.463129E+02  2.390033E+01
2.466795E+02  1.751533E+02  -4.462989E+02  2.412572E+01
2.466721E+02  1.751454E+02  -4.462848E+02  2.435188E+01
2.466647E+02  1.751373E+02  -4.462704E+02  2.457564E+01
2.466574E+02  1.751293E+02  -4.462561E+02  2.479554E+01
2.466499E+02  1.751212E+02  -4.462417E+02  2.501358E+01
2.466423E+02  1.751129E+02  -4.462270E+02  2.523076E+01
2.466348E+02  1.751047E+02  -4.462126E+02  2.544306E+01
2.466272E+02  1.750965E+02  -4.461979E+02  2.565508E+01
2.466193E+02  1.750879E+02  -4.461828E+02  2.586850E+01
2.466115E+02  1.750795E+02  -4.461680E+02  2.607661E+01
2.466037E+02  1.750710E+02  -4.461530E+02  2.628242E+01
2.465958E+02  1.750625E+02  -4.461380E+02  2.648675E+01
2.465877E+02  1.750538E+02  -4.461227E+02  2.669075E+01
2.465797E+02  1.750451E+02  -4.461075E+02  2.689152E+01
2.465716E+02  1.750364E+02  -4.460921E+02  2.709118E+01
2.465634E+02  1.750275E+02  -4.460765E+02  2.729141E+01
2.465551E+02  1.750186E+02  -4.460609E+02  2.748816E+01
2.465469E+02  1.750097E+02  -4.460454E+02  2.768114E+01
2.465385E+02  1.750007E+02  -4.460296E+02  2.787524E+01
2.465300E+02  1.749915E+02  -4.460136E+02  2.806820E+01
2.465214E+02  1.749823E+02  -4.459976E+02  2.825939E+01
2.465129E+02  1.749731E+02  -4.459816E+02  2.844824E+01
2.465042E+02  1.749638E+02  -4.459654E+02  2.863673E+01
2.464953E+02  1.749543E+02  -4.459488E+02  2.882632E+01
2.464865E+02  1.749449E+02  -4.459325E+02  2.901095E+01
2.464777E+02  1.749354E+02  -4.459160E+02  2.919402E+01
2.464687E+02  1.749257E+02  -4.458993E+02  2.937928E+01
2.464595E+02  1.749159E+02  -4.458823E+02  2.956308E+01
2.464506E+02  1.749063E+02  -4.458657E+02  2.974107E+01
2.464413E+02  1.748964E+02  -4.458486E+02  2.992225E+01
2.464321E+02  1.748865E+02  -4.458316E+02  3.010052E+01
2.464228E+02  1.748766E+02  -4.458145E+02  3.027739E+01
2.464132E+02  1.748664E+02  -4.457969E+02  3.045668E+01
2.464037E+02  1.748562E+02  -4.457794E+02  3.063226E+01
2.463943E+02  1.748461E+02  -4.457621E+02  3.080416E+01
2.463849E+02  1.748361E+02  -4.457449E+02  3.097361E+01
2.463752E+02  1.748257E+02  -4.457271E+02  3.114589E+01
2.463654E+02  1.748154E+02  -4.457094E+02  3.131560E+01
2.463557E+02  1.748050E+02  -4.456916E+02  3.148455E+01
2.463457E+02  1.747943E+02  -4.456734E+02  3.165438E+01
2.463358E+02  1.747838E+02  -4.456554E+02  3.182038E+01
2.463259E+02  1.747732E+02  -4.456373E+02  3.198621E+01
2.463157E+02  1.747624E+02  -4.456188E+02  3.215278E+01
2.463053E+02  1.747514E+02  -4.456001E+02  3.231977E+01
2.462951E+02  1.747405E+02  -4.455815E+02  3.248352E+01
2.462846E+02  1.747294E+02  -4.455626E+02  3.264769E+01
2.462743E+02  1.747184E+02  -4.455440E+02  3.280934E+01
2.462636E+02  1.747071E+02  -4.455247E+02  3.297344E+01
2.462531E+02  1.746960E+02  -4.455058E+02  3.313204E+01
2.462426E+02  1.746849E+02  -4.454869E+02  3.328943E+01
2.462318E+02  1.746734E+02  -4.454675E+02  3.344947E+01
2.462208E+02  1.746617E+02  -4.454477E+02  3.361064E+01
2.462098E+02  1.746501E+02  -4.454281E+02  3.376842E+01
2.461989E+02  1.746385E+02  -4.454084E+02  3.392505E+01
2.461877E+02  1.746267E+02  -4.453886E+02  3.408121E+01
