# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.460732E+02  9.119059E-05  6.866875E+02  0.000000E+00
2.460732E+02  9.341533E-05  6.866868E+02  1.000000E+00
2.460722E+02  6.735822E-04  6.866799E+02  2.497155E+00
2.460718E+02  1.135359E-03  6.866744E+02  3.245733E+00
2.460711E+02  1.722669E-03  6.866673E+02  3.994311E+00
2.460706E+02  2.200365E-03  6.866616E+02  4.515017E+00
2.460700E+02  2.734305E-03  6.866551E+02  5.035722E+00
2.460689E+02  3.674526E-03  6.866439E+02  5.832298E+00
2.460677E+02  4.602831E-03  6.866327E+02  6.533902E+00
2.460664E+02  5.542119E-03  6.866215E+02  7.158849E+00
2.460653E+02  6.443914E-03  6.866108E+02  7.714029E+00
2.460641E+02  7.340705E-03  6.866000E+02  8.229817E+00
2.460628E+02  8.215036E-03  6.865895E+02  8.706920E+00
2.460617E+02  9.088257E-03  6.865790E+02  9.159731E+00
2.460605E+02  9.976055E-03  6.865683E+02  9.592326E+00
2.460592E+02  1.085464E-02  6.865579E+02  9.998899E+00
2.460579E+02  1.172274E-02  6.865474E+02  1.038825E+01
2.460566E+02  1.258699E-02  6.865370E+02  1.076369E+01
2.460553E+02  1.345326E-02  6.865266E+02  1.112631E+01
2.460540E+02  1.432924E-02  6.865161E+02  1.147777E+01
2.460526E+02  1.519511E-02  6.865058E+02  1.181540E+01
2.460512E+02  1.606756E-02  6.864954E+02  1.214472E+01
2.460498E+02  1.693531E-02  6.864850E+02  1.246442E+01
2.460484E+02  1.780484E-02  6.864746E+02  1.277680E+01
2.460470E+02  1.866262E-02  6.864643E+02  1.307936E+01
2.460455E+02  1.953098E-02  6.864539E+02  1.337758E+01
2.460440E+02  2.040595E-02  6.864435E+02  1.366790E+01
2.460424E+02  2.126969E-02  6.864331E+02  1.394992E+01
2.460409E+02  2.213280E-02  6.864228E+02  1.422623E+01
2.460393E+02  2.300944E-02  6.864124E+02  1.449844E+01
2.460376E+02  2.386821E-02  6.864021E+02  1.476462E+01
2.460360E+02  2.472603E-02  6.863918E+02  1.502718E+01
2.460344E+02  2.561185E-02  6.863813E+02  1.528645E+01
2.460326E+02  2.647002E-02  6.863710E+02  1.553778E+01
2.460309E+02  2.734627E-02  6.863606E+02  1.578785E+01
2.460291E+02  2.820491E-02  6.863503E+02  1.603180E+01
2.460273E+02  2.908012E-02  6.863398E+02  1.627377E+01
2.460255E+02  2.993737E-02  6.863295E+02  1.650957E+01
2.460236E+02  3.081716E-02  6.863190E+02  1.674500E+01
2.460217E+02  3.167828E-02  6.863087E+02  1.697433E+01
2.460198E+02  3.255316E-02  6.862984E+02  1.720202E+01
2.460177E+02  3.342787E-02  6.862880E+02  1.742730E+01
2.460158E+02  3.429423E-02  6.862776E+02  1.764888E+01
2.460137E+02  3.516614E-02  6.862672E+02  1.786724E+01
2.460117E+02  3.603700E-02  6.862568E+02  1.808256E+01
2.460095E+02  3.689788E-02  6.862465E+02  1.829513E+01
2.460074E+02  3.777872E-02  6.862360E+02  1.850747E+01
2.460052E+02  3.864422E-02  6.862257E+02  1.871407E+01
2.460030E+02  3.951708E-02  6.862153E+02  1.892110E+01
2.460007E+02  4.038673E-02  6.862049E+02  1.912472E+01
2.459984E+02  4.125792E-02  6.861945E+02  1.932566E+01
2.459961E+02  4.212501E-02  6.861842E+02  1.952511E+01
2.459937E+02  4.300171E-02  6.861737E+02  1.972315E+01
2.459913E+02  4.387006E-02  6.861633E+02  1.991797E+01
2.459889E+02  4.475018E-02  6.861529E+02  2.011152E+01
2.459864E+02  4.561310E-02  6.861426E+02  2.030343E+01
2.459838E+02  4.649093E-02  6.861321E+02  2.049394E+01
2.459812E+02  4.736277E-02  6.861216E+02  2.068225E+01
2.459787E+02  4.823800E-02  6.861113E+02  2.086737E+01
2.459760E+02  4.911172E-02  6.861009E+02  2.105268E+01
2.459733E+02  4.998508E-02  6.860904E+02  2.123521E+01
2.459706E+02  5.085949E-02  6.860800E+02  2.141619E+01
2.459678E+02  5.173258E-02  6.860697E+02  2.159516E+01
2.459650E+02  5.260328E-02  6.860592E+02  2.177450E+01
2.459621E+02  5.348538E-02  6.860488E+02  2.195134E+01
2.459593E+02  5.435781E-02  6.860384E+02  2.212649E+01
2.459563E+02  5.523030E-02  6.860280E+02  2.230049E+01
2.459534E+02  5.610129E-02  6.860176E+02  2.247271E+01
2.459504E+02  5.698168E-02  6.860071E+02  2.264404E+01
2.459473E+02  5.784806E-02  6.859967E+02  2.281331E+01
2.459442E+02  5.873187E-02  6.859862E+02  2.298254E+01
2.459411E+02  5.960410E-02  6.859758E+02  2.314939E+01
2.459378E+02  6.048485E-02  6.859653E+02  2.331583E+01
2.459347E+02  6.134738E-02  6.859550E+02  2.348018E+01
2.459314E+02  6.223677E-02  6.859445E+02  2.364456E+01
2.459281E+02  6.309730E-02  6.859341E+02  2.380690E+01
2.459247E+02  6.398099E-02  6.859236E+02  2.396945E+01
2.459213E+02  6.485878E-02  6.859131E+02  2.412954E+01
2.459179E+02  6.572154E-02  6.859028E+02  2.428805E+01
2.459144E+02  6.661864E-02  6.858923E+02  2.444767E+01
2.459108E+02  6.749248E-02  6.858818E+02  2.460439E+01
2.459073E+02  6.836506E-02  6.858714E+02  2.476013E+01
2.459037E+02  6.924491E-02  6.858609E+02  2.491533E+01
2.459000E+02  7.010634E-02  6.858506E+02  2.506975E+01
2.458962E+02  7.100292E-02  6.858399E+02  2.522472E+01
2.458926E+02  7.187103E-02  6.858296E+02  2.537574E+01
2.458888E+02  7.275845E-02  6.858190E+02  2.552771E+01
2.458849E+02  7.361556E-02  6.858088E+02  2.567671E+01
2.458810E+02  7.450396E-02  6.857981E+02  2.582792E+01
2.458771E+02  7.537414E-02  6.857878E+02  2.597523E+01
2.458731E+02  7.625970E-02  6.857772E+02  2.612410E+01
2.458691E+02  7.713693E-02  6.857668E+02  2.627088E+01
2.458650E+02  7.801160E-02  6.857563E+02  2.641683E+01
2.458609E+02  7.889186E-02  6.857458E+02  2.656209E+01
2.458567E+02  7.976305E-02  6.857354E+02  2.670674E+01
2.458525E+02  8.064271E-02  6.857249E+02  2.685121E+01
2.458483E+02  8.152669E-02  6.857144E+02  2.699464E+01
2.458440E+02  8.240558E-02  6.857038E+02  2.713716E+01
2.458397E+02  8.328586E-02  6.856934E+02  2.727777E+01
2.458353E+02  8.416588E-02  6.856829E+02  2.741808E+01
2.458308E+02  8.503418E-02  6.856725E+02  2.755793E+01
2.458263E+02  8.591897E-02  6.856619E+02  2.769833E+01
2.458218E+02  8.680194E-02  6.856514E+02  2.783697E+01
2.458173E+02  8.768089E-02  6.856410E+02  2.797426E+01
2.458126E+02  8.855633E-02  6.856304E+02  2.811213E+01
2.458079E+02  8.943528E-02  6.856199E+02  2.824874E+01
2.458032E+02  9.031244E-02  6.856094E+02  2.838441E+01
2.457985E+02  9.120748E-02  6.855988E+02  2.852009E+01
2.457937E+02  9.207493E-02  6.855885E+02  2.865361E+01
2.457888E+02  9.296245E-02  6.855779E+02  2.878853E+01
2.457839E+02  9.383693E-02  6.855674E+02  2.892164E+01
2.457790E+02  9.472138E-02  6.855568E+02  2.905435E+01
2.457740E+02  9.559778E-02  6.855463E+02  2.918586E+01
2.457690E+02  9.647495E-02  6.855358E+02  2.931735E+01
2.457639E+02  9.735328E-02  6.855253E+02  2.944781E+01
2.457588E+02  9.823182E-02  6.855148E+02  2.957812E+01
2.457536E+02  9.911130E-02  6.855042E+02  2.970823E+01
2.457483E+02  9.999910E-02  6.854937E+02  2.983723E+01
2.457431E+02  1.008753E-01  6.854831E+02  2.996580E+01
2.457378E+02  1.017540E-01  6.854726E+02  3.009346E+01
2.457324E+02  1.026390E-01  6.854621E+02  3.022121E+01
2.457270E+02  1.035177E-01  6.854515E+02  3.034802E+01
2.457214E+02  1.044063E-01  6.854409E+02  3.047495E+01
2.457160E+02  1.052867E-01  6.854304E+02  3.060040E+01
2.457104E+02  1.061690E-01  6.854198E+02  3.072565E+01
2.457049E+02  1.070454E-01  6.854093E+02  3.085041E+01
2.456991E+02  1.079255E-01  6.853988E+02  3.097500E+01
2.456934E+02  1.088143E-01  6.853881E+02  3.109975E+01
2.456877E+02  1.097014E-01  6.853775E+02  3.122231E+01
2.456819E+02  1.105751E-01  6.853670E+02  3.134456E+01
2.456760E+02  1.114621E-01  6.853564E+02  3.146720E+01
2.456702E+02  1.123445E-01  6.853458E+02  3.158882E+01
2.456642E+02  1.132218E-01  6.853353E+02  3.171013E+01
2.456582E+02  1.141044E-01  6.853247E+02  3.183151E+01
2.456522E+02  1.149968E-01  6.853141E+02  3.195199E+01
2.456461E+02  1.158792E-01  6.853035E+02  3.207151E+01
2.456400E+02  1.167567E-01  6.852929E+02  3.219080E+01
2.456338E+02  1.176482E-01  6.852823E+02  3.230983E+01
2.456276E+02  1.185223E-01  6.852717E+02  3.242889E+01
2.456213E+02  1.194151E-01  6.852611E+02  3.254738E+01
2.456150E+02  1.202896E-01  6.852505E+02  3.266496E+01
2.456086E+02  1.211797E-01  6.852398E+02  3.278252E+01
2.456023E+02  1.220586E-01  6.852293E+02  3.289908E+01
2.455958E+02  1.229532E-01  6.852185E+02  3.301607E+01
2.455893E+02  1.238326E-01  6.852080E+02  3.313128E+01
2.455827E+02  1.247186E-01  6.851973E+02  3.324726E+01
2.455761E+02  1.255888E-01  6.851869E+02  3.336184E+01
2.455694E+02  1.264963E-01  6.851760E+02  3.347744E+01
2.455628E+02  1.273595E-01  6.851655E+02  3.359075E+01
2.455561E+02  1.282592E-01  6.851548E+02  3.370513E+01
2.455493E+02  1.291313E-01  6.851443E+02  3.381754E+01
2.455426E+02  1.300126E-01  6.851336E+02  3.393099E+01
2.455356E+02  1.309120E-01  6.851229E+02  3.404425E+01
2.455287E+02  1.317908E-01  6.851123E+02  3.415664E+01
2.455217E+02  1.326817E-01  6.851016E+02  3.426875E+01
2.455147E+02  1.335636E-01  6.850909E+02  3.438029E+01
2.455076E+02  1.344611E-01  6.850802E+02  3.449211E+01
2.455005E+02  1.353414E-01  6.850696E+02  3.460259E+01
2.454933E+02  1.362255E-01  6.850589E+02  3.471337E+01
2.454861E+02  1.371110E-01  6.850482E+02  3.482387E+01
2.454788E+02  1.380072E-01  6.850375E+02  3.493404E+01
2.454715E+02  1.388928E-01  6.850267E+02  3.504313E+01
2.454642E+02  1.397731E-01  6.850162E+02  3.515172E+01
2.454568E+02  1.406772E-01  6.850053E+02  3.526093E+01
2.454495E+02  1.415485E-01  6.849948E+02  3.536789E+01
2.454419E+02  1.424325E-01  6.849841E+02  3.547655E+01
2.454343E+02  1.433319E-01  6.849732E+02  3.558541E+01
2.454268E+02  1.442286E-01  6.849625E+02  3.569262E+01
2.454192E+02  1.451093E-01  6.849518E+02  3.579961E+01
2.454115E+02  1.460033E-01  6.849411E+02  3.590619E+01
2.454038E+02  1.468799E-01  6.849304E+02  3.601212E+01
2.453960E+02  1.477778E-01  6.849196E+02  3.611859E+01
2.453883E+02  1.486665E-01  6.849089E+02  3.622446E+01
2.453804E+02  1.495569E-01  6.848981E+02  3.633000E+01
2.453724E+02  1.504516E-01  6.848873E+02  3.643539E+01
2.453645E+02  1.513417E-01  6.848766E+02  3.654049E+01
2.453565E+02  1.522346E-01  6.848658E+02  3.664514E+01
2.453484E+02  1.531276E-01  6.848550E+02  3.674921E+01
2.453404E+02  1.540143E-01  6.848443E+02  3.685309E+01
2.453322E+02  1.549162E-01  6.848333E+02  3.695684E+01
2.453242E+02  1.557928E-01  6.848228E+02  3.705879E+01
2.453158E+02  1.566945E-01  6.848118E+02  3.716280E+01
2.453076E+02  1.575801E-01  6.848011E+02  3.726522E+01
2.452993E+02  1.584810E-01  6.847902E+02  3.736805E+01
2.452909E+02  1.593756E-01  6.847794E+02  3.747018E+01
2.452825E+02  1.602696E-01  6.847686E+02  3.757228E+01
2.452740E+02  1.611564E-01  6.847578E+02  3.767374E+01
2.452655E+02  1.620523E-01  6.847469E+02  3.777503E+01
2.452570E+02  1.629478E-01  6.847361E+02  3.787604E+01
2.452484E+02  1.638394E-01  6.847253E+02  3.797719E+01
2.452397E+02  1.647410E-01  6.847144E+02  3.807778E+01
2.452310E+02  1.656372E-01  6.847035E+02  3.817806E+01
2.452224E+02  1.665345E-01  6.846926E+02  3.827761E+01
2.452136E+02  1.674214E-01  6.846819E+02  3.837698E+01
2.452047E+02  1.683319E-01  6.846708E+02  3.847721E+01
2.451959E+02  1.692187E-01  6.846601E+02  3.857539E+01
2.451870E+02  1.701119E-01  6.846492E+02  3.867468E+01
2.451780E+02  1.710220E-01  6.846382E+02  3.877405E+01
2.451690E+02  1.719221E-01  6.846273E+02  3.887189E+01
2.451601E+02  1.728144E-01  6.846165E+02  3.896933E+01
2.451509E+02  1.737214E-01  6.846054E+02  3.906805E+01
2.451418E+02  1.746065E-01  6.845946E+02  3.916546E+01
2.451325E+02  1.755260E-01  6.845836E+02  3.926392E+01
2.451232E+02  1.764258E-01  6.845726E+02  3.936107E+01
2.451141E+02  1.773137E-01  6.845618E+02  3.945687E+01
2.451048E+02  1.782201E-01  6.845508E+02  3.955365E+01
2.450955E+02  1.791168E-01  6.845399E+02  3.964999E+01
2.450861E+02  1.800209E-01  6.845288E+02  3.974631E+01
2.450766E+02  1.809165E-01  6.845179E+02  3.984159E+01
2.450672E+02  1.818260E-01  6.845069E+02  3.993739E+01
2.450576E+02  1.827189E-01  6.844960E+02  4.003263E+01
2.450480E+02  1.836283E-01  6.844850E+02  4.012862E+01
2.450384E+02  1.845372E-01  6.844739E+02  4.022371E+01
2.450288E+02  1.854371E-01  6.844630E+02  4.031726E+01
2.450191E+02  1.863425E-01  6.844519E+02  4.041199E+01
2.450093E+02  1.872354E-01  6.844410E+02  4.050613E+01
2.449995E+02  1.881513E-01  6.844298E+02  4.060113E+01
2.449897E+02  1.890581E-01  6.844188E+02  4.069490E+01
2.449798E+02  1.899684E-01  6.844077E+02  4.078835E+01
2.449699E+02  1.908754E-01  6.843967E+02  4.088161E+01
2.449599E+02  1.917780E-01  6.843856E+02  4.097486E+01
2.449498E+02  1.926911E-01  6.843745E+02  4.106802E+01
2.449398E+02  1.935958E-01  6.843634E+02  4.116076E+01
2.449297E+02  1.945160E-01  6.843523E+02  4.125347E+01
2.449195E+02  1.954126E-01  6.843412E+02  4.134562E+01
2.449093E+02  1.963338E-01  6.843300E+02  4.143805E+01
2.448992E+02  1.972323E-01  6.843191E+02  4.152914E+01
2.448889E+02  1.981476E-01  6.843079E+02  4.162123E+01
2.448785E+02  1.990535E-01  6.842968E+02  4.171263E+01
2.448682E+02  1.999717E-01  6.842856E+02  4.180413E+01
2.448578E+02  2.008751E-01  6.842745E+02  4.189517E+01
2.448472E+02  2.018021E-01  6.842632E+02  4.198668E+01
2.448368E+02  2.027141E-01  6.842521E+02  4.207675E+01
2.448263E+02  2.036179E-01  6.842409E+02  4.216676E+01
2.448158E+02  2.045221E-01  6.842299E+02  4.225652E+01
2.448052E+02  2.054324E-01  6.842187E+02  4.234671E+01
2.447945E+02  2.063536E-01  6.842075E+02  4.243672E+01
2.447838E+02  2.072671E-01  6.841963E+02  4.252618E+01
2.447731E+02  2.081899E-01  6.841850E+02  4.261573E+01
2.447623E+02  2.090947E-01  6.841738E+02  4.270463E+01
