# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
4.771989E-02  1.590420E-02  2.217461E-05  1.374205E+02
4.759409E-02  1.586227E-02  2.095113E-05  1.374207E+02
4.388990E-02  1.462764E-02  1.475824E-05  1.374218E+02
3.698014E-02  1.232494E-02  3.770071E-05  1.374553E+02
3.659887E-02  1.219777E-02  4.075642E-05  1.374572E+02
3.584083E-02  1.194512E-02  4.266950E-05  1.374590E+02
2.611934E-02  8.703885E-03  3.238134E-05  1.375179E+02
2.597144E-02  8.654590E-03  3.283528E-05  1.375190E+02
2.572975E-02  8.574082E-03  3.430272E-05  1.375200E+02
1.538548E-02  5.125785E-03  6.094221E-05  1.375877E+02
8.168872E-03  2.720337E-03  8.902155E-05  1.377229E+02
4.409912E-03  1.468108E-03  9.599219E-05  1.379935E+02
3.062427E-03  1.019455E-03  4.042962E-05  1.385347E+02
2.756982E-03  9.175155E-04  3.609803E-05  1.386347E+02
2.451536E-03  8.155760E-04  3.369167E-05  1.387347E+02
-2.180419E-04  8.334151E-05  2.863282E-03  1.734183E+02
1.539582E-03  6.251560E-04  -2.934597E-03  2.167729E+02
7.133653E-03  2.297408E-03  7.849608E-03  2.709662E+02
1.319725E-02  3.836447E-03  9.823952E-03  3.387077E+02
-1.253710E-03  -2.717559E-04  3.844309E-04  4.233846E+02
-1.476974E-04  -4.999631E-05  -2.357576E-04  5.292308E+02
6.023496E-03  1.759368E-02  -2.223130E-04  5.953846E+02
1.263896E-04  -3.707842E-04  -5.204586E-05  6.615385E+02
7.683891E-03  -4.155834E-03  1.757401E-02  7.284145E+02
1.517828E-02  -2.382485E-03  -2.135739E-03  7.618526E+02
2.123981E-04  2.343257E-04  1.356042E-04  7.785716E+02
8.685934E-03  -4.858441E-03  -4.727144E-03  7.952906E+02
1.148536E-04  2.824935E-05  2.044581E-04  8.489939E+02
4.322153E-04  -1.386608E-04  1.636591E-04  8.758455E+02
1.900762E-05  -7.114206E-05  -3.529364E-04  9.026972E+02
5.664386E-05  -7.548632E-04  -8.669282E-04  9.550037E+02
-7.134404E-03  3.399939E-03  -9.810014E-03  1.000000E+03
